Kanji#Reading#JLPT#Type#Meaning
['畏まりました']#[['かしこまりました']]#100#['&exp;']#['certainly!']
['其れから']#[['それから']]#100#['&exp;']#['and then', 'after that']
['儘ならぬ']#[['ままならぬ']]#100#['&exp;']#['unable to do (as one wishes)', 'able to do only with great effort', 'almost impossible to do', \"beyond one's control\", 'not always turning out as one wishes', 'not going the way one wants it to']
['其れでこそ']#[['それでこそ']]#100#['&exp;']#[\"just what you'd expect from ...\", \"that's just like (him, her, etc.)\", \"that's (exactly) why ...\", \"that's (precisely) the reason ...\"]
['誰も']#[['だれも']]#100#['&exp;']#['everyone', 'anyone']
['吮癰舐痔']#[['せんようしじ']]#100#['&exp;']#['currying favour (favor)', 'brown-nosing', 'bootlicking', {'_': 'sucking pus from carbuncles and licking hemorrhoids (haemorrhoids)', '$': {'g_type': 'lit'}}]
['屁をひって尻窄め']#[['へをひってしりつぼめ'], ['へをひってしりすぼめ']]#100#['&exp;']#['there is no use shutting the stable door after the horse has bolted', {'_': 'squeezing your buttocks after you have farted', '$': {'g_type': 'lit'}}]
['云々']#[['うんぬん']]#100#['&exp;']#['and so on', 'and so forth', 'et cetera', 'and such', 'and the like']
['其れまで']#[['それまで']]#100#['&exp;']#['until then', 'till then', 'up to that time']
['この儘']#[['このまま']]#100#['&exp;']#['as is', 'as it is', 'as things are', 'like this', 'this way', 'at this rate']
['揃いも揃って']#[['そろいもそろって']]#100#['&exp;']#['each and every one of them', 'every last one of them', 'all a bunch of']
['揃って']#[['そろって']]#100#['&exp;']#['all together', 'in a body', 'en masse', 'all alike']
['埒があかない']#[['らちがあかない'], ['ラチがあかない']]#100#['&adj-i;', '&exp;']#['make no progress', 'remain unsettled']
['其れはそうと']#[['それはそうと']]#100#['&exp;']#['anyway', 'by the way', 'incidentally', 'well', 'to change the subject']
['躊躇いながら']#[['ためらいながら']]#100#['&exp;']#['with hesitation', 'haltingly', 'falteringly', 'reluctantly']
['誰にも']#[['だれにも']]#100#['&exp;']#['to anyone', 'to everyone']
['烏兎匆々']#[['うとそうそう']]#100#['&exp;']#['days and nights passing by quickly', 'months and years flying by', 'Time flies']
['孕んで']#[['はらんで']]#100#['&exp;']#['pregnant with', 'in litter']
['雖も']#[['いえども'], ['いうとも']]#100#['&exp;']#['even though', 'despite', 'notwithstanding']
['此れは']#[['これは']]#100#['&exp;']#['as for this']
['稍あって']#[['ややあって']]#100#['&exp;']#['a little while later', 'for a little while', 'some time later', 'for some time', 'presently']
['孜々として']#[['ししとして']]#100#['&exp;']#['assiduously', 'diligently']
['誰しも']#[['だれしも'], ['たれしも']]#100#['&exp;']#['everyone', 'anyone']
['惚れた腫れた']#[['ほれたはれた']]#100#['&exp;']#['head over heels', 'madly (in love)']
['迚もじゃないが']#[['とてもじゃないが']]#100#['&exp;']#['simply (cannot)', 'definitely (cannot)', 'absolutely (cannot)', 'by no means']
['儲かりまっか']#[['もうかりまっか']]#100#['&exp;']#['Are you making money?']
['あの頃']#[['あのころ']]#100#['&exp;']#['in those days']
['顎のしゃくれた']#[['あごのしゃくれた']]#100#['&exp;']#['(person) with a turned-up chin']
['畏']#[['かしこ'], ['かしく']]#100#['&exp;']#['yours sincerely', 'respectfully yours']
['儘に']#[['ままに']]#100#['&exp;']#['as (e.g. \"do as one is told\", \"as we age we gain wisdom\")', 'wherever (e.g. \"wherever my fancy took me\")']
['鴨ネギ']#[['かもネギ'], ['かもねぎ'], ['カモネギ']]#100#['&exp;']#['along comes a sucker just begging to be parted from his money']
['其れなればこそ']#[['それなればこそ']]#100#['&exp;']#['for that very reason']
['其れなし']#[['それなし']]#100#['&exp;']#['without that']
['纏まった']#[['まとまった']]#100#['&exp;']#['large', 'heavy', 'massed', 'quite a lot', 'large amount', 'sizable (e.g. sum)']
['いい鴨']#[['いいかも'], ['いいカモ']]#100#['&exp;']#['desirable prey', 'easy game', 'easy mark', 'easy prey', 'easy target']
['ｇｋｂｒ']#[['ガクブル']]#100#['&exp;']#['trembling with fear']
['倦まず弛まず']#[['うまずたゆまず']]#100#['&exp;']#['tirelessly', 'perseveringly', 'without letting up']
['躊躇わずに']#[['ためらわずに']]#100#['&exp;']#['without hesitation', 'without a qualm', 'at the drop of a hat']
['其れはそうとして']#[['それはそうとして']]#100#['&exp;']#['anyway', 'by the way', 'incidentally', 'well', 'to change the subject']
['冥々のうち']#[['めいめいのうち']]#100#['&exp;']#['unawares', 'before one is aware']
['斯くやあらん']#[['かくやあらん']]#100#['&exp;']#['it must be like this']
['迄も']#[['までも']]#100#['&exp;']#['to (an extent)', 'up to', 'so far as', 'even']
['おｋ']#[['おけ'], ['おーけー']]#100#['&exp;']#['OK']
['ｗｋｔｋ']#[['ワクテカ']]#100#['&exp;']#['being excited', 'having the jitters (with expectation)']
['屁をひる']#[['へをひる']]#100#['&v5r;', '&exp;']#['to fart', 'to break wind']
['此れこそ']#[['これこそ']]#100#['&exp;']#['this (very thing)', 'this precisely']
['誰あろう']#[['だれあろう']]#100#['&exp;']#['none other than', '... himself', '... herself']
['此れまでで']#[['これまでで']]#100#['&exp;']#['to date', 'as of now']
['ｋｗｓｋ']#[['くわしく']]#100#['&exp;']#['tell me more', 'give me more details']
['ｇｇｒｋｓ']#[['ググれかす']]#100#['&exp;']#['google it, scum', 'just fucking google it', 'JFGI']
['俺が俺が']#[['おれがおれが']]#100#['&exp;']#['me, me, me']
['蓑になり笠になり']#[['みのになりかさになり']]#100#['&exp;']#['helping and protecting in all ways', {'_': 'acting as a raincoat (protecting from rain) and acting as a hat (protecting from sun)', '$': {'g_type': 'lit'}}]
['誰にともなく']#[['だれにともなく']]#100#['&exp;']#['to no one in particular']
['ＮＣＮＲ']#[['エヌシーエヌアール']]#100#['&exp;']#['no complaints and no returns']
['糊のきいた']#[['のりのきいた']]#100#['&exp;']#['freshly laundered and starched', 'fresh and unwrinkled']
['ＧＪ']#[['ジージェイ']]#100#['&exp;']#['good job']
['僅かしか']#[['わずかしか']]#100#['&exp;']#['(nothing) but a little']
['誰うま']#[['だれうま']]#100#['&exp;']#['nice!', 'very good!', 'so witty!', \"that's clever\"]
['いつの頃からか']#[['いつのころからか']]#100#['&exp;']#['at some point in the past', 'at some stage']
['云々かんぬん']#[['うんぬんかんぬん']]#100#['&exp;']#['and so on', 'and so forth', 'et cetera', 'and such', 'and the like']
['呆']#[['ほう']]#100#['&exp;']#[\"(I'm) shocked\"]
['ＫＳＫ']#[['ケーエスケー']]#100#['&exp;']#['(please) marry me']
