Kanji#Reading#JLPT#Type#Meaning
['〃']#[['おなじ'], ['おなじく']]#100#['&n;']#['ditto mark']
['仝']#[['どうじょう']]#100#['&n;']#['\"as above\" mark']
['々']#[['のま'], ['ノマ']]#100#['&unc;']#[{'_': 'kanji repetition mark', '$': {'g_type': 'expl'}}]
['○']#[['まる']]#100#['&n;']#['circle']
['ＣＤプレーヤー']#[['シーディープレーヤー'], ['シーディープレイヤー']]#100#['&n;']#['CD player']
['Ｏバック']#[['オーバック']]#100#['&n;']#['O-back', 'skirt with peek-a-boo hole in rump']
['ＲＳ２３２ケーブル']#[['アールエスにさんにケーブル']]#100#['&n;']#['rs232 cable']
['Ｔシャツ']#[['ティーシャツ']]#100#['&n;']#['T-shirt', 'tee shirt']
['Ｔバック']#[['ティーバック']]#100#['&n;']#['T-back', 'bikini thong']
['𩺊']#[['あら'], ['アラ']]#100#['&n;']#['saw-edged perch (Niphon spinosus)']
['嘶き']#[['いななき']]#100#['&n;']#['neigh', 'whinny', 'bray']
['鱝']#[['えい'], ['エイ']]#100#['&n;']#['ray (any fish of superorder Batoidea)']
['お鍋']#[['おなべ']]#100#['&n;']#['pot']
['屁']#[['おなら'], ['へ']]#100#['&n;']#['wind', 'gas', 'fart']
['お呪い']#[['おまじない']]#100#['&n;']#['good luck charm']
['お尻']#[['おしり'], ['オシリ']]#100#['&n;']#['bottom', 'buttocks']
['お膳']#[['おぜん']]#100#['&n;']#['four-legged tray for festive food']
['お屠蘇']#[['おとそ']]#100#['&n;']#[\"New Year's sake\", 'spiced sake']
['お餅']#[['おもち']]#100#['&n;']#['rice cakes', 'pounded mochi rice']
['お碗']#[['おわん']]#100#['&n;']#['bowl']
['揶揄い']#[['からかい']]#100#['&n;']#['teasing', 'banter', 'ribbing', 'jest', 'making fun (of)', 'poking fun (at)']
['嚏']#[['くしゃみ'], ['くさめ'], ['くっさめ'], ['クシャミ']]#100#['&n;']#['sneeze']
['喋り']#[['しゃべり']]#100#['&n;']#['talk', 'chat']
