Kanji#Reading#JLPT#Type#Meaning
['愚図愚図']#[['ぐずぐず'], ['グズグズ']]#1#['&adv;', '&adv-to;', '&vs;']#['slowly', 'tardily', 'dawdling', 'lingering', 'hesitantly']
['繁繁']#[['しげしげ']]#1#['&adv-to;']#['frequently', 'often']
['熟']#[['つくづく'], ['つくつく']]#1#['&adv;', '&adv-to;']#['deeply', 'keenly', 'severely', 'completely', 'utterly']
['揺ら揺ら']#[['ゆらゆら'], ['ユラユラ']]#1#['&adv;', '&adv-to;', '&vs;']#['swaying', 'swinging', 'rocking', 'shaking', 'wavering', 'flickering']
['絢爛']#[['けんらん']]#1#['&adj-t;', '&adv-to;']#['gorgeous', 'brilliant', 'dazzling', 'ornate', 'gaudy', 'flowery']
['安閑']#[['あんかん']]#1#['&adj-t;', '&adv-to;']#['relaxed', 'easygoing', 'leisurely', 'peaceful', 'calm', 'comfortable']
['隠然']#[['いんぜん']]#1#['&adj-t;', '&adv-to;']#['latent', 'hidden', 'secret', 'behind the scenes']
['嬉々']#[['きき']]#1#['&adj-t;', '&adv-to;']#['merry', 'joyful', 'gleeful']
['空漠']#[['くうばく']]#1#['&adj-t;', '&adv-to;', '&n;', '&adj-na;']#['vast', 'boundless']
['軒昂']#[['けんこう']]#1#['&adj-t;', '&adv-to;']#['high-spirited', 'in high spirits']
['厳然']#[['げんぜん']]#1#['&adj-t;', '&adv-to;']#['grave', 'solemn', 'stern', 'authoritative', 'hard (e.g. fact)']
['古色蒼然']#[['こしょくそうぜん']]#1#['&adj-t;', '&adv-to;']#['antique-looking', 'looking hoary with patina']
['広漠']#[['こうばく']]#1#['&adj-t;', '&adv-to;']#['vast', 'wide', 'boundless']
['浩然']#[['こうぜん']]#1#['&adj-t;', '&adv-to;']#['broadminded', 'magnanimous']
['索然']#[['さくぜん']]#1#['&adj-t;', '&adv-to;']#['boring', 'dull', 'dry']
['索莫']#[['さくばく']]#1#['&adj-t;', '&adv-to;']#['dreary', 'bleak', 'desolate']
['殺伐']#[['さつばつ']]#1#['&adj-t;', '&adv-to;', '&adj-na;']#['brutal (atmosphere, society, etc.)', 'savage', 'fierce', 'violent', 'bloodthirsty', 'stark']
['惨憺']#[['さんたん']]#1#['&adj-t;', '&adv-to;']#['miserable', 'pitiful', 'tragic', 'wretched', 'horrible', 'terrible']
['燦々']#[['さんさん']]#1#['&adj-t;', '&adv-to;']#['brilliant', 'bright']
['燦然']#[['さんぜん']]#1#['&adj-t;', '&adv-to;']#['brilliant', 'radiant', 'bright', 'sparkling']
['燦爛']#[['さんらん']]#1#['&adj-t;', '&adv-to;']#['brilliant', 'bright', 'radiant']
['釈然']#[['しゃくぜん'], ['せきぜん']]#1#['&adj-t;', '&adv-to;']#['fully satisfied (with an explanation, apology, etc.)', 'happy', 'cleared of doubt']
['徐々']#[['じょじょ']]#1#['&adj-t;', '&adv-to;']#['slow', 'gradual', 'steady']
['森閑']#[['しんかん']]#1#['&adj-t;', '&adv-to;']#['silent', 'still', 'quiet', 'hushed']
['随分']#[['ずいぶん']]#1#['&adv;', '&adv-to;']#['very', 'extremely', 'surprisingly', 'considerably', 'awfully', 'terribly']
