Kanji#Reading#JLPT#Type#Meaning
['如何にも']#[['いかにも']]#1#['&adv;']#['indeed', 'really', 'truly', 'just (like)']
['嫌に']#[['いやに']]#1#['&adv;']#['awfully', 'terribly']
['颯と']#[['さっと']]#1#['&adv;']#['quickly (esp. actions)']
['頻りに']#[['しきりに']]#1#['&adv;']#['frequently', 'repeatedly', 'often', 'incessantly', 'constantly']
['漫ろに']#[['そぞろに']]#1#['&adv;']#['in spite of oneself', 'somehow', 'without knowing why', 'vaguely']
['抑']#[['そもそも']]#1#['&n;', '&adv;']#['in the first place', 'to begin with', 'from the start', 'originally', 'ab initio']
['序でに']#[['ついでに']]#1#['&adv;']#['incidentally', 'taking the opportunity', 'while (you) are at it', 'on the occasion']
['如何']#[['どう']]#1#['&adv;']#['how', 'in what way', 'how about']
['漸と']#[['やっと']]#1#['&adv;']#['at last', 'finally']
['矢っ張り']#[['やっぱり']]#1#['&adv;']#['as expected', 'sure enough', 'just as one thought']
['緩緩']#[['ゆるゆる']]#1#['&adj-na;', '&adv;']#['very loose', 'slowly', 'leisurely']
['縦しんば']#[['よしんば']]#1#['&adv;']#['even if', 'even though', 'if']
['以往']#[['いおう']]#1#['&n;', '&adv;']#['after this', 'from now on', 'hereafter']
['為']#[['ため']]#1#['&n;', '&adv;']#['good', 'advantage', 'benefit', 'welfare']
['遺漏なく']#[['いろうなく']]#1#['&adv;']#['complete', 'without omission']
['一概に']#[['いちがいに']]#1#['&adv;']#['unconditionally', 'as a rule']
['一瞬']#[['いっしゅん']]#1#['&n;', '&adv;']#['instant', 'moment', 'for an instant']
['一寸']#[['ちょっと'], ['ちょと'], ['チョット'], ['ちょいと'], ['チョッと']]#1#['&adv;']#['a little', 'a bit', 'slightly']
['一生涯']#[['いっしょうがい']]#1#['&n;', '&adv;']#['lifetime', \"one's whole life\", 'all through life']
['一斉に']#[['いっせいに']]#1#['&adv;']#['simultaneously', 'all at once', 'in unison']
['一旦']#[['いったん']]#1#['&adv;']#['once']
