Kanji#Reading#JLPT#Type#Meaning
['凹']#[['おう']]#1#['&pref;']#['concave', 'hollow', 'sunken']
['幾']#[['いく']]#1#['&pref;']#['some', 'several', 'a few']
['次亜']#[['じあ']]#1#['&pref;']#['hypo- (indicating the lowest oxidation state)']
['罷り']#[['まかり']]#1#['&pref;']#['emphatic verbal prefix']
['某']#[['ぼう']]#1#['&n;', '&pref;']#['certain', 'one']
['素っ']#[['すっ']]#1#['&pref;']#['most', 'much', 'greatly']
['抗']#[['こう']]#1#['&pref;']#['anti-']
['該']#[['がい']]#1#['&pref;']#['said', 'matter in question']
['隔']#[['かく']]#1#['&pref;']#['every other', 'second', 'alternate']
['神経筋']#[['しんけいきん']]#1#['&adj-no;', '&pref;']#['neuromuscular']
['亜']#[['あ']]#1#['&pref;']#['sub-']
['至']#[['し']]#1#['&pref;']#['to ...']
['貴']#[['き']]#1#['&pref;']#['your']
['即']#[['そく']]#1#['&adv;', '&pref;']#['instantly', 'immediately', 'at once']
['従']#[['ひろい'], ['ひろき']]#1#['&pref;']#['lesser (of equal court ranks)', 'lower', 'junior']
['擬']#[['ぎ']]#1#['&pref;']#['pseudo-', 'quasi-']
['劣']#[['れつ']]#1#['&pref;']#['sub-', 'inferior', 'minor']
['分屯']#[['ぶんとん']]#1#['&pref;']#['vice-', 'sub-']
['脱']#[['だつ']]#1#['&pref;']#['de- (indicating reversal, removal, etc.)', 'post-']
['駄']#[['だ']]#1#['&pref;']#['poor', 'low-grade', 'trivial', 'insignificant', 'worthless']
['激']#[['げき']]#1#['&pref;']#['extremely', 'terrifically', 'super']
['疎']#[['おろ']]#1#['&pref;']#['incompletely', 'insufficiently', 'partially', 'somewhat']
['逸']#[['いち']]#1#['&pref;']#['very', 'excellent']
['排']#[['はい']]#1#['&pref;']#['anti-']
['昭']#[['しょう']]#1#['&pref;']#['nth year in the Shōwa era (1926.12.25-1989.1.7)']
['皇']#[['すめ'], ['すめら'], ['すべ'], ['すべら']]#1#['&pref;']#['divine', 'imperial']
['耐']#[['たい']]#1#['&pref;']#['-proof', '-resistant']
