Kanji#Reading#JLPT#Type#Meaning
['仮']#[['かり']]#2#['&adj-no;', '&pref;']#['temporary', 'provisional', 'interim']
['旧']#[['きゅう']]#2#['&pref;']#['old', 'former', 'ex-']
['故']#[['こ']]#2#['&pref;']#['the late', 'the deceased']
['御']#[['ご']]#2#['&pref;']#['honorific/polite/humble prefix']
['再']#[['さい']]#2#['&pref;']#['re-', 'again', 'repeated', 'deutero-', 'deuto-', 'deuter-']
['私製']#[['しせい']]#2#['&adj-no;', '&pref;']#['privately-made (esp. postcard, mailing card, etc.)', 'commercially-made', 'non-government', 'unofficial']
['似非']#[['えせ'], ['エセ']]#2#['&pref;']#['false', 'pseudo-', 'quasi-', 'would-be', 'sham', 'pretended', 'mock']
['準']#[['じゅん']]#2#['&pref;']#['semi-', 'quasi-', 'associate']
['諸']#[['しょ']]#2#['&pref;']#['various', 'many', 'several']
['常']#[['とこ']]#2#['&pref;']#['constant', 'unchanging', 'eternal']
['総']#[['そう']]#2#['&n;', '&pref;']#['whole', 'all', 'general', 'gross', 'entire', 'overall']
['超']#[['ちょう'], ['チョー']]#2#['&pref;']#['super-', 'ultra-', 'hyper-', 'extreme']
['片']#[['かた']]#2#['&pref;']#['one (of a pair)']
['優']#[['やさ']]#2#['&pref;']#['gentle', 'affectionate']
['複']#[['ふく']]#2#['&pref;']#['compound', 'composite', 'multiple', 're-', 'bi-']
['薄']#[['うす']]#2#['&pref;']#['light (e.g. colour, color)']
['超低']#[['ちょうてい']]#2#['&adj-no;', '&pref;']#['very low (deep, cold, etc.)', 'ultra-', 'infra-', 'hyper-']
['現']#[['げん']]#2#['&pref;']#['present (e.g. government, administration)', 'current', 'existing']
['翌']#[['よく']]#2#['&pref;']#['the following', 'next']
['濃']#[['のう'], ['こ']]#2#['&pref;']#['dark (color)']
['被']#[['ひ']]#2#['&pref;']#['indicates the target of an activity', '-ee (e.g. employee, examinee, trustee)']
['過']#[['か']]#2#['&pref;']#['surplus-', 'excess-', 'over-']
['偉']#[['えら']]#2#['&pref;']#['tremendous', 'huge']
['御']#[['み']]#2#['&pref;']#['august']
['大御']#[['おおみ'], ['おおん'], ['おおむ']]#2#['&pref;']#['august (in ref. to the emperor or the gods)', 'imperial', 'divine']
['御御']#[['おみ']]#2#['&pref;']#['honorific or polite prefix']
['諸']#[['もろ'], ['モロ']]#2#['&pref;']#['both']
['狭']#[['さ']]#2#['&pref;']#['narrow', 'thin']
['築']#[['ちく']]#2#['&pref;']#['... years since construction', '... years old (of a building)']
['押っ']#[['おっ']]#2#['&pref;']#['vigorously ...', 'suddenly ...']
['薄ら']#[['うすら']]#2#['&pref;']#['slight', 'light', 'thin', 'faint', 'dim']
['御']#[['お'], ['おん']]#2#['&pref;']#['honorific/polite/humble prefix']
