Kanji#Reading#JLPT#Type#Meaning
['っ放し']#[['っぱなし'], ['っはなし']]#3#['&suf;']#['keep ...-ing', 'have been ...-ing', 'leaving (something) on', 'leaving (something) still in use']
['化する']#[['かする']]#3#['&vs-s;', '&suf;']#['to change into', 'to convert into', 'to transform', 'to be reduced', 'to influence', 'to improve (someone)']
['共']#[['ども']]#3#['&suf;']#['first-person plural (or singular)']
['君']#[['くん']]#3#['&suf;']#['Mr (junior)', 'master', 'boy']
['号館']#[['ごうかん']]#3#['&suf;']#['suffix for building numbers']
['号室']#[['ごうしつ']]#3#['&suf;']#['suffix for room numbers', 'suffix for apartment numbers']
['号車']#[['ごうしゃ']]#3#['&suf;']#['suffix for train car numbers']
['史観']#[['しかん']]#3#['&n;', '&suf;']#['historical view', 'view of history (from a given point of view)']
['然']#[['ぜん']]#3#['&suf;']#['-like']
['達']#[['たち']]#3#['&suf;']#['pluralizing suffix (esp. for people and animals; formerly honorific)']
['得る']#[['うる']]#3#['&v-unspec;', '&suf;']#['to be able to ...', 'can ...']
['放題']#[['ほうだい']]#3#['&suf;']#['(doing) as one pleases', \"to one's heart's content\", 'letting (something) go unchecked', 'leaving uncontrolled', 'leaving (something) to take its own course']
['様']#[['さま']]#3#['&suf;']#['Mr.', 'Mrs.', 'Miss', 'Ms.']
['公']#[['こう']]#3#['&n;', '&suf;']#['public matter', 'governmental matter']
['側']#[['がわ'], ['かわ']]#3#['&n;', '&suf;']#[\"side (of something, or taking someone's side)\", 'part']
['週令']#[['しゅうれい']]#3#['&n;', '&suf;']#['week-old']
['気付け']#[['きづけ'], ['きつけ']]#3#['&suf;']#['care of (e.g. address on letter)', 'c/o']
['様様']#[['さまさま']]#3#['&suf;']#['our gracious (e.g. Queen)', 'honorific that attaches to name of a person or thing that has bestowed grace or favour upon you']
['等々']#[['とうとう']]#3#['&suf;']#['etc.', 'et cetera', 'and so on']
['勝ち']#[['がち']]#3#['&suf;']#['apt to (do)', 'liable to', 'prone to', 'inclined to', 'tend to']
['関']#[['ぜき']]#3#['&suf;']#['honorific added to names of makuuchi and juryo division wrestlers']
['改め']#[['あらため']]#3#['&suf;']#['former (e.g. name)', 'previous', 'changed']
['化']#[['か']]#3#['&suf;']#['action of making something', '-ification']
['等']#[['ら']]#3#['&suf;']#['pluralizing suffix']
['形']#[['かた'], ['がた']]#3#['&n;', '&suf;']#['shape', 'appearance']
['戦']#[['せん']]#3#['&suf;']#['war', 'battle']
['乗根']#[['じょうこん']]#3#['&suf;']#['(nth) root']
['階建']#[['かいだて']]#3#['&suf;']#['n-storied building']
['置きに']#[['おきに']]#3#['&exp;', '&suf;']#['repeated at intervals', 'every other (day, week, month, ...)']
['港']#[['こう']]#3#['&suf;']#['harbour']
['島']#[['とう']]#3#['&suf;']#['Island']
['湖']#[['こ']]#3#['&suf;']#['lake (in place names)']
['録']#[['ろく']]#3#['&n;', '&suf;']#['record', 'transcript']
['内']#[['ない']]#3#['&suf;']#['inside', 'within']
['星人']#[['せいじん']]#3#['&suf;']#['person from (the planet of)']
['倍付け']#[['ばいづけ']]#3#['&n;', '&suf;']#['paying (or paying out) double', '(after number N) paying N times as much']
['年型']#[['ねんがた']]#3#['&suf;']#[\"(some year's) model\"]
['給え']#[['たまえ']]#3#['&suf;']#['please ...']
['無き']#[['なき']]#3#['&adj-f;', '&suf;']#['-less', 'lacking', 'non-existing']
['歴']#[['れき']]#3#['&suf;']#['history of', 'experience of']
['路']#[['じ']]#3#['&suf;']#['route', 'road']
['相']#[['しょう']]#3#['&suf;']#['minister of state']
['央']#[['おう']]#3#['&suf;']#['middle', 'centre', 'center']
['形']#[['けい']]#3#['&suf;']#['form', 'tense']
['代当主']#[['だいとうしゅ']]#3#['&suf;']#['the n-th generation head of a family']
['研究部']#[['けんきゅうぶ']]#3#['&n;', '&suf;']#['research division', 'research club (e.g. at school, university)']
['共']#[['ごと'], ['ぐち']]#3#['&suf;']#['including...', 'with ...', 'inclusive of', '...and all']
['競']#[['くら']]#3#['&suf;']#['contest', 'match']
['初め']#[['ぞめ']]#3#['&suf;']#[\"first doing of ... (ever, in one's life, in the new year, etc.)\"]
['係']#[['がかり']]#3#['&suf;']#['charge', 'duty', 'person in charge', 'official', 'clerk']
['君']#[['ぎみ']]#3#['&suf;']#[\"suffix appended to somebody else's family members\"]
['様方']#[['さまかた']]#3#['&suf;']#['care of', 'at the household of (when addressing letter, etc.)', 'c-o']
['様']#[['ちゃま']]#3#['&suf;']#['Mr.', 'Mrs.', 'Ms.']
['連れ']#[['づれ']]#3#['&suf;']#['in the company of', 'accompanied by ...', 'as a group comprising ...']
['下議']#[['かぎ']]#3#['&n;', '&suf;']#['member of the lower house']
