Kanji#Reading#JLPT#Type#Meaning
['明白']#[['めいはく']]#4#['&adj-na;']#['obvious', 'clear', 'plain', 'evident', 'apparent', 'explicit', 'overt']
['明白']#[['あからさま']]#4#['&adj-na;', '&adj-no;']#['plain', 'frank', 'candid', 'open', 'direct', 'straightforward', 'unabashed', 'blatant', 'flagrant']
['悪どい']#[['あくどい']]#4#['&adj-i;']#['gaudy', 'showy', 'garish', 'loud']
['か弱い']#[['かよわい']]#4#['&adj-i;']#['weak', 'feeble', 'delicate', 'frail', 'helpless']
['ひ弱い']#[['ひよわい']]#4#['&adj-i;']#['weak', 'sickly']
['太々しい']#[['ふてぶてしい']]#4#['&adj-i;']#['impudent', 'brazen', 'shameless', 'bold']
['ぶっ通し']#[['ぶっとおし']]#4#['&adj-no;']#['continuous', 'nonstop', 'consecutive', 'ceaseless']
['悪い']#[['わるい']]#4#['&adj-i;']#['bad', 'poor', 'undesirable']
['悪し']#[['あし']]#4#['&adj-shiku;']#['bad', 'evil']
['悪意']#[['あくい']]#4#['&n;', '&adj-no;']#['ill will', 'spite', 'evil intention', 'malice']
['悪人']#[['あくにん']]#4#['&n;', '&adj-no;']#['bad person', 'villain', 'scoundrel', 'wrongdoer', 'wicked person']
['悪辣']#[['あくらつ']]#4#['&adj-na;']#['crafty', 'vicious', 'unscrupulous', 'sharp']
['安楽']#[['あんらく']]#4#['&n;', '&adj-na;']#['comfort', 'ease']
['暗い']#[['くらい']]#4#['&adj-i;']#['dark', 'gloomy', 'murky']
['暗色']#[['あんしょく']]#4#['&n;', '&adj-no;']#['dark colour', 'dark color']
['意気地なし']#[['いくじなし']]#4#['&n;', '&adj-na;']#['coward', 'sissy', 'weakling', 'loser', 'milquetoast', 'good-for-nothing']
['意気地のない']#[['いくじのない']]#4#['&exp;', '&adj-i;']#['spineless', 'backboneless', 'timid', 'cowardly', 'weak-kneed']
['意地']#[['いじ']]#4#['&n;', '&adj-no;']#['stubbornness', 'obstinacy', 'willpower', 'pride']
['医薬']#[['いやく']]#4#['&n;', '&adj-no;']#['medicine']
['医用']#[['いよう']]#4#['&n;', '&adj-no;']#['medical use']
['一元']#[['いちげん']]#4#['&n;', '&adj-no;']#['unitary']
['一人乗り']#[['いちにんのり']]#4#['&n;', '&adj-no;']#['single seater (e.g. boat, aeroplane, airplane)']
['一切']#[['いっさい']]#4#['&n;', '&adj-no;']#['all', 'everything', 'entirety', 'the whole']
['一通り']#[['ひととおり']]#4#['&n;', '&adj-no;', '&adv;']#['generally', 'in the main', 'briefly (look over, explain, etc.)', 'roughly', 'more or less']
['一方ならぬ']#[['ひとかたならぬ']]#4#['&adj-pn;']#['extraordinary', 'special']
['一方通行']#[['いっぽうつうこう']]#4#['&n;', '&adj-no;']#['one-way traffic']
['右方']#[['うほう']]#4#['&n;', '&adj-no;']#['right side']
['迂遠']#[['うえん']]#4#['&adj-na;']#['roundabout', 'indirect', 'circuitous', 'impractical', 'useless']
