Kanji#Reading#JLPT#Type#Meaning
['あの方']#[['あのかた']]#4#['&pn;']#['that gentleman', 'that lady', 'he', 'she']
['お帰りなさい']#[['おかえりなさい']]#4#['&int;']#['welcome home']
['お兄さん']#[['おにいさん']]#4#['&n;']#['older brother', 'elder brother']
['お兄ちゃん']#[['おにいちゃん']]#4#['&n;']#[\"(one's) older brother\"]
['お産']#[['おさん']]#4#['&n;']#['(giving) birth', 'childbirth', 'delivery', 'confinement']
['お使い']#[['おつかい']]#4#['&n;']#['errand', 'mission', 'going as envoy']
['お姉さん']#[['おねえさん']]#4#['&n;']#['older sister', 'elder sister']
['お七夜']#[['おしちや']]#4#['&n;']#['name-giving ceremony']
['お手洗い']#[['おてあらい']]#4#['&n;']#['toilet', 'restroom', 'lavatory', 'bathroom']
['お早うございます']#[['おはようございます']]#4#['&int;']#['good morning']
['お茶']#[['おちゃ']]#4#['&n;']#['tea (usu. green)']
['お土産']#[['おみやげ'], ['おみあげ']]#4#['&n;']#['local specialty or souvenir bought as a gift while travelling']
['お別れ']#[['おわかれ']]#4#['&n;']#['parting', 'farewell']
['がっちり屋']#[['がっちりや']]#4#['&n;']#['tightwad', 'miser']
['がり勉']#[['がりべん'], ['ガリべん']]#4#['&n;']#['someone who studies very hard (at school)', 'grind', 'swot', 'drudge']
['くる病']#[['くるびょう']]#4#['&n;']#['rickets']
['此方']#[['こちら'], ['こっち'], ['こち']]#4#['&pn;']#['this way', 'this direction']
['此方']#[['こなた'], ['こんた']]#4#['&n;']#['this way', 'here']
['ご兄弟']#[['ごきょうだい']]#4#['&n;']#['siblings', 'brothers and sisters']
['好き者']#[['すきもの']]#4#['&n;']#['dilettante', 'lecher', 'nymphomaniac']
['其方']#[['そちら'], ['そっち'], ['そなた'], ['そち']]#4#['&pn;']#['that way', 'that direction']
['そよ風']#[['そよかぜ'], ['びふう']]#4#['&n;']#['gentle breeze', 'soft wind', 'breath of air', 'zephyr']
['それ以来']#[['それいらい']]#4#['&exp;', '&n;', '&adv;']#['since then', 'from that time', 'ever since']
['集り']#[['たかり']]#4#['&n;']#['extortion', 'blackmail', 'shakedown']
['ちゃんこ料理']#[['ちゃんこりょうり']]#4#['&n;']#['fish, meat, and vegetable stew traditionally served to wrestlers']
['チャンバラ映画']#[['チャンバラえいが'], ['ちゃんばらえいが']]#4#['&n;']#['samurai movie']
['ちんどん屋']#[['ちんどんや']]#4#['&n;']#['traditional Japanese band of sandwich board advertisers']
['所が']#[['ところが']]#4#['&conj;']#['even so', 'however', 'still', 'whereupon', 'even though', 'nevertheless', 'on the contrary', 'as a matter of fact', 'despite']
['ねじ回し']#[['ねじまわし'], ['ネジまわし']]#4#['&n;']#['screwdriver']
['はにかみ屋']#[['はにかみや']]#4#['&n;']#['bashful person', 'very shy person']
['引ったくり']#[['ひったくり']]#4#['&n;']#['purse snatching', 'handbag snatching', 'purse snatcher', 'handbag snatcher']
['へぼ医者']#[['へぼいしゃ']]#4#['&n;']#['quack doctor']
['ポン引き']#[['ポンびき'], ['ポンぴき'], ['ぽんびき'], ['ぽんぴき']]#4#['&n;']#['tout', 'swindler', 'con-man']
['み使い']#[['みつかい']]#4#['&n;']#['angel']
['やり方']#[['やりかた']]#4#['&n;']#['way (of doing)', 'manner', 'method', 'means']
['アイヌ族']#[['アイヌぞく']]#4#['&n;']#['Ainu race', 'Ainu people']
['アメーバ運動']#[['アメーバうんどう']]#4#['&n;']#['ameboid movement']
['アルツハイマー病']#[['アルツハイマーびょう']]#4#['&n;']#[\"Alzheimer's disease\"]
['インスタント食品']#[['インスタントしょくひん']]#4#['&n;']#['instant foods']
['インディア紙']#[['インディアかみ']]#4#['&n;']#['India paper']
['インディペンデントリビング運動']#[['インディペンデントリビングうんどう']]#4#['&n;']#['independent living movement']
['インフラ開発']#[['インフラかいはつ']]#4#['&n;']#['infrastructure development']
['ウーロン茶']#[['ウーロンちゃ'], ['ウーロンチャ']]#4#['&n;']#['oolong tea']
['ウイック回転']#[['ウイックかいてん']]#4#['&n;']#['Wick rotation']
['エコロジー運動']#[['エコロジーうんどう']]#4#['&n;']#['ecological movement']
['カード会員']#[['カードかいいん']]#4#['&n;']#['(credit) card holder', 'cardmember']
['カポジ肉腫']#[['カポジにくしゅ'], ['カポシにくしゅ']]#4#['&n;']#[\"Kaposi's sarcoma\"]
['キー入力']#[['キーにゅうりょく']]#4#['&n;']#['key (input)']
['キリスト教']#[['キリストきょう']]#4#['&n;']#['Christianity']
['キリル文字']#[['キリルもじ']]#4#['&n;']#['Cyrillic alphabet', 'Cyrillic character']
['ギリシャ文字']#[['ギリシャもじ'], ['ギリシアもじ']]#4#['&n;']#['Greek character', 'Greek characters']
['クラフト紙']#[['クラフトし']]#4#['&n;']#['kraft paper', 'craft paper']
['クローン動物']#[['クローンどうぶつ']]#4#['&n;']#['cloned animal']
['ケーソン病']#[['ケーソンびょう']]#4#['&n;']#['caisson disease']
['ケント紙']#[['ケントし']]#4#['&n;']#['Kent paper']
['コンピュータ用語']#[['コンピュータようご'], ['コンピューターようご']]#4#['&n;']#['computer terminology', 'computer term']
['ゴルフ場']#[['ゴルフじょう']]#4#['&n;']#['golf course', 'golf links']
['サボタージュ員']#[['サボタージュいん']]#4#['&n;']#['saboteur']
['ジャケ写']#[['ジャケしゃ']]#4#['&n;']#['jacket picture (i.e. of a record)']
['スキー場']#[['スキーじょう']]#4#['&n;']#['ski resort', 'ski area']
