Kanji#Reading#JLPT#Type#Meaning
['いじり回す']#[['いじりまわす']]#4#['&v5s;']#['to tinker with', 'to fumble with', 'to twist up']
['お世話になる']#[['おせわになる']]#4#['&exp;', '&v5r;']#['to receive favor', 'to receive assistance', 'to receive help', 'to be looked after', 'to be taken care of', 'to become dependent (on)', 'to become much obliged (to someone)', 'to become indebted']
['お知らせ']#[['おしらせ']]#4#['&n;', '&vs;']#['notice', 'notification']
['事がある']#[['ことがある']]#4#['&exp;', '&v5r-i;']#['(for something) to have occurred', 'to have done (something)']
['事になる']#[['ことになる']]#4#['&exp;', '&v5r;']#['to have been decided (so) that', 'to have been arranged (so) that']
['ご注意']#[['ごちゅうい']]#4#['&n;', '&vs;']#['attention', 'notice', 'heed']
['小便をする']#[['しょうべんをする'], ['しょんべんをする']]#4#['&exp;', '&vs-i;']#['to pee', 'to piss']
['そぞろ歩き']#[['そぞろあるき']]#4#['&n;', '&vs;']#['slow, relaxed walk', 'stroll']
['つなぎ合わせる']#[['つなぎあわせる']]#4#['&v1;']#['to connect', 'to join', 'to join or tie or knot together']
['と考えられる']#[['とかんがえられる']]#4#['&exp;', '&v1;']#['to be conceivable that', 'to be thinkable that']
['どさ回りをやる']#[['どさまわりをやる']]#4#['&exp;', '&v5r;']#['to go on tour', 'to be on the road (e.g. theatre troupe) (theater)']
['ピカピカ光る']#[['ピカピカひかる'], ['ぴかぴかひかる']]#4#['&exp;', '&v5r;']#['to sparkle', 'to glitter', 'to twinkle']
['ピクピク動く']#[['ピクピクうごく'], ['ぴくぴくうごく']]#4#['&exp;', '&v5k;']#['to jerk', 'to wiggle', 'to twitch']
['物にする']#[['ものにする']]#4#['&exp;', '&vs-i;']#['to get', 'to secure', 'to take possession of', \"to make one's own\", \"to win (someone's heart)\"]
['やり切る']#[['やりきる']]#4#['&v5r;']#['to complete decisively', 'to do to completion']
['タクシーに乗る']#[['タクシーにのる']]#4#['&exp;', '&v5r;']#['to take a taxi']
['バスに乗る']#[['バスにのる']]#4#['&exp;', '&v5r;']#['to take the bus']
['逢着']#[['ほうちゃく']]#4#['&n;', '&vs;']#['encounter', 'face']
['悪く言う']#[['わるくいう']]#4#['&exp;', '&v5u;']#['to speak badly (of)', 'to speak ill (of)', 'to bad-mouth']
['悪たれる']#[['あくたれる']]#4#['&v1;', '&vi;']#['to do mischief', 'to use abusive language']
['悪びれる']#[['わるびれる']]#4#['&v1;', '&vi;']#['to act timid (about doing)', 'to show diffidence', 'to feel ashamed', 'to feel guilty']
['悪乗り']#[['わるのり'], ['わるノリ']]#4#['&n;', '&vs;']#['getting carried away', 'going too far', 'overdoing']
['悪あがき']#[['わるあがき']]#4#['&n;', '&vs;']#['useless resistance', 'vain struggle']
['悪罵']#[['あくば']]#4#['&n;', '&vs;']#['curse', 'vilification']
['悪用']#[['あくよう']]#4#['&n;', '&vs;']#['abuse', 'misuse', 'perversion']
['悪ふざけ']#[['わるふざけ']]#4#['&n;', '&vs;']#['prank', 'practical joke', 'horseplay', 'mischievous trick']
['安産']#[['あんざん']]#4#['&n;', '&vs;']#['easy delivery', 'easy childbirth', 'safe birth']
['安住']#[['あんじゅう']]#4#['&n;', '&vs;']#['living in peace', 'living a quiet life']
['安着']#[['あんちゃく']]#4#['&n;', '&vs;']#['safe arrival']
['安売り']#[['やすうり']]#4#['&n;', '&vs;']#['bargain sale', 'selling cheaply']
['暗合']#[['あんごう']]#4#['&n;', '&vs;']#['coincidence']
['暗転']#[['あんてん']]#4#['&n;', '&vs;']#['(theatrical) blackout']
['意見']#[['いけん']]#4#['&n;', '&vs;', '&adj-no;']#['opinion', 'view', 'comment']
['意図']#[['いと']]#4#['&n;', '&vs;']#['intention', 'aim', 'design']
['意味']#[['いみ']]#4#['&n;', '&vs;']#['meaning', 'significance', 'sense']
['なし終える']#[['なしおえる']]#4#['&v1;', '&vt;']#['to accomplish', 'to finish']
['なし終わる']#[['なしおわる']]#4#['&v5r;', '&vi;']#['to finish']
['し合う']#[['しあう']]#4#['&v5u;', '&vt;']#['to do together']
['畏服']#[['いふく']]#4#['&n;', '&vs;']#['awe']
['ひとっ走り']#[['ひとっぱしり']]#4#['&n;', '&vs;']#['(short) run', 'drive', 'ride', 'spin']
['一安心']#[['ひとあんしん']]#4#['&n;', '&vs;']#['feeling of relief (for the time being)', 'peace of mind (for now)']
['一考']#[['いっこう']]#4#['&n;', '&vs;']#['consideration', 'thought']
['一仕事']#[['ひとしごと']]#4#['&n;', '&vs;']#['task', '(doing a) bit of work']
['一人歩き']#[['ひとりあるき']]#4#['&n;', '&vs;']#['taking on a life of its own (of a rumour, etc.)']
['一洗']#[['いっせん']]#4#['&n;', '&vs;']#['thoroughly wash away']
['一走り']#[['ひとはしり']]#4#['&n;', '&vs;']#['(short) run', 'drive', 'ride', 'spin']
['一転']#[['いってん']]#4#['&n;', '&vs;']#['one turn', 'spinning around']
['一発かます']#[['いっぱつかます']]#4#['&exp;', '&v5s;']#['to hit (someone) once', 'to give (somebody) a punch']
['一服']#[['いっぷく']]#4#['&n;', '&vs;']#['(a) dose', '(a) puff', '(a) smoke', 'lull', 'short rest']
['一別']#[['いちべつ']]#4#['&n;', '&vs;']#['parting']
['一問一答']#[['いちもんいっとう']]#4#['&n;', '&vs;']#['answering question by question']
['引きちぎる']#[['ひきちぎる']]#4#['&v5r;', '&vt;']#['to tear off']
['引き下がる']#[['ひきさがる']]#4#['&v5r;', '&vi;']#['to withdraw', 'to leave', 'to retire']
['引き下ろす']#[['ひきおろす']]#4#['&v5s;', '&vt;']#['to haul down', 'to drag down', 'to pull down', 'to tow off', 'to force out', 'to dethrone']
['引き回す']#[['ひきまわす']]#4#['&v5s;', '&vt;']#['to draw around (e.g. a curtain)', 'to drag around']
['引き起こす']#[['ひきおこす']]#4#['&v5s;', '&vt;']#['to cause', 'to induce', 'to bring about', 'to provoke']
['引き去る']#[['ひきさる']]#4#['&v5r;', '&vt;']#['to retreat', 'to withdraw', 'to deduct']
['引き金を引く']#[['ひきがねをひく']]#4#['&exp;', '&v5k;']#['to pull the trigger', 'to squeeze the trigger']
['引き合う']#[['ひきあう']]#4#['&v5u;', '&vi;']#['to pay', 'to be profitable']
['引きずる']#[['ひきずる']]#4#['&v5r;', '&vt;']#['to drag along', 'to pull']
['引き入れる']#[['ひきいれる']]#4#['&v1;', '&vt;']#['to drag into', 'to pull into', 'to draw into']
['引き剥がす']#[['ひきはがす']]#4#['&v5s;', '&vt;']#['to tear off', 'to rip off']
['引き分ける']#[['ひきわける']]#4#['&v1;', '&vt;']#['to pull apart', 'to separate']
['引き立つ']#[['ひきたつ']]#4#['&v5t;', '&vi;']#['to cheer up', 'to liven up', 'to become active']
['引きこもる']#[['ひきこもる']]#4#['&v5r;', '&vi;']#['to stay indoors', 'to be confined indoors']
['引く']#[['ひく']]#4#['&v5k;', '&vt;']#['to pull', 'to tug', 'to lead (e.g. a horse)']
['引ける']#[['ひける']]#4#['&v1;', '&vi;']#['to close', 'to be over', 'to break up (e.g. school)']
['引っかかる']#[['ひっかかる']]#4#['&v5r;', '&vi;']#['to be caught in', 'to be stuck in']
['引ったくる']#[['ひったくる']]#4#['&v5r;', '&vt;']#['to snatch from', 'to steal from']
['引っかく']#[['ひっかく']]#4#['&v5k;', '&vt;']#['to scratch', 'to claw']
['引っ叩く']#[['ひっぱたく']]#4#['&v5k;', '&vt;']#['to slap', 'to strike', 'to spank']
['引火']#[['いんか']]#4#['&n;', '&vs;']#['ignition', 'catching fire']
['引見']#[['いんけん']]#4#['&n;', '&vs;']#['audience', 'interview']
['引用']#[['いんよう']]#4#['&n;', '&vs;', '&adj-no;']#['quotation', 'citation', 'reference']
['飲み回す']#[['のみまわす']]#4#['&v5s;', '&vt;']#['to pass the cup round']
['飲み回る']#[['のみまわる']]#4#['&v5r;', '&vt;']#['to go on a pub-crawl', 'to drink at a round of places']
['飲み明かす']#[['のみあかす']]#4#['&v5s;', '&vt;']#['to drink the night away']
['飲用']#[['いんよう']]#4#['&n;', '&vs;', '&adj-no;']#['drinking']
['烏有に帰する']#[['うゆうにきする']]#4#['&exp;', '&vs-s;']#['to be reduced to ashes']
['迂回']#[['うかい']]#4#['&n;', '&vs;']#['detour', 'circumvention']
['雨注']#[['うちゅう']]#4#['&n;', '&vs;']#['showering (arrows) upon']
['うかがい知る']#[['うかがいしる']]#4#['&v5r;', '&vt;']#['to perceive', 'to understand']
['窺知']#[['きち']]#4#['&n;', '&vs;']#['perception', 'understanding']
['運び出す']#[['はこびだす']]#4#['&v5s;', '&vt;']#['to carry out (of somewhere)', 'to transport', 'to take out']
['運ぶ']#[['はこぶ']]#4#['&v5b;', '&vt;']#['to carry', 'to transport', 'to move', 'to convey']
['運休']#[['うんきゅう']]#4#['&n;', '&vs;']#['suspension (of a transportation service)', 'cancellation', 'stoppage']
['運行']#[['うんこう']]#4#['&n;', '&vs;']#['service (bus, train)', 'operation']
['運転']#[['うんてん']]#4#['&n;', '&vs;', '&adj-no;']#['operation (of a machine, etc.)', 'operating', 'running', 'run']
['運動']#[['うんどう']]#4#['&n;', '&vs;']#['exercise', 'physical training', 'workout', 'sports', 'athletics']
['運用']#[['うんよう']]#4#['&n;', '&vs;']#['making use of', 'application', 'practical use', 'effective management (e.g. of funds)']
['映る']#[['うつる']]#4#['&v5r;', '&vi;']#['to be reflected', 'to harmonize with (harmonise)', 'to come out (photo)', 'to be projected', 'to be displayed (on a screen)']
['映写']#[['えいしゃ']]#4#['&n;', '&vs;', '&adj-no;']#['projection']
