Kanji#Reading#JLPT#Type#Meaning
['いい年をして']#[['いいとしをして']]#5#['&exp;']#['(in spite of) being old enough to know better']
['行けない']#[['いけない']]#5#['&exp;']#['wrong', 'not good', 'of no use']
['お休みなさい']#[['おやすみなさい']]#5#['&exp;']#['good night']
['からと言って']#[['からといって']]#5#['&exp;']#['just because', 'even if', 'even though']
['ざまを見ろ']#[['ざまをみろ']]#5#['&exp;']#['serves you right!', 'see what happens!']
['その上で']#[['そのうえで']]#5#['&exp;']#['moreover', 'in addition']
['と言うもの']#[['というもの']]#5#['&exp;']#['something like ...', 'something called ...']
['とも言う']#[['ともいう']]#5#['&exp;']#['also called']
['と言えば']#[['といえば']]#5#['&exp;']#['speaking of ...']
['何じゃそりゃ']#[['なんじゃそりゃ'], ['なんじゃそら']]#5#['&exp;']#[\"what's that?\", 'what the...']
['何にしても']#[['なんにしても'], ['なににしても']]#5#['&exp;']#['even so', 'anyhow', 'at any rate']
['ほとんどの人']#[['ほとんどのひと']]#5#['&exp;']#['almost everyone']
['ピントが外れる']#[['ピントがはずれる']]#5#['&v1;', '&exp;']#['to be out of focus']
['ある人']#[['あるひと']]#5#['&n;', '&exp;']#['someone (unspecified, but someone in particular)', 'a certain person']
['一言二言']#[['ひとことふたこと']]#5#['&exp;']#['a word or two']
['一人で']#[['ひとりで']]#5#['&exp;']#['alone', 'by oneself', \"on one's own\"]
['右から左へ']#[['みぎからひだりへ']]#5#['&exp;']#['from right to left', 'in one ear and out the other']
['右と言えば左']#[['みぎといえばひだり']]#5#['&exp;']#['always contradicting what other people say']
['嘘っ八百']#[['うそっぱっぴゃく']]#5#['&exp;']#['full of lies']
['下さい']#[['ください']]#5#['&exp;']#['please (give me)']
['何かにつけて']#[['なにかにつけて']]#5#['&exp;']#['in various ways', 'in all sorts of ways', 'at every opportunity', 'whenever there is a chance']
['何かかにか']#[['なにかかにか']]#5#['&exp;']#['this and that', 'something or other', 'one thing or another']
['何が何だか']#[['なにがなんだか']]#5#['&exp;']#[\"what's what\", 'heads or tails']
['何とか']#[['なんとか']]#5#['&exp;']#['something', 'something or other', 'so-and-so']
['何とかかんとか']#[['なんとかかんとか']]#5#['&exp;']#['something or other', 'somehow']
['何という']#[['なんという'], ['なんとゆう']]#5#['&exp;']#['how (beautiful, etc.)', 'what a ...']
['何も']#[['なにも']]#5#['&exp;']#['(not) anything', '(nothing) at all', '(not) any', 'nothing']
['何を言うてんねん']#[['なにをいうてんねん'], ['なにをゆうてんねん']]#5#['&exp;']#['what the hell are you saying?']
['なぜかと言うと']#[['なぜかというと']]#5#['&exp;']#['because', 'the reason why is']
['何時から']#[['いつから']]#5#['&exp;']#['since when', 'from when', 'how long']
['何時何時までも']#[['いついつまでも']]#5#['&exp;']#['indefinitely', 'for a long time']
['何時間']#[['なんじかん']]#5#['&exp;']#['how many hours?']
['何日']#[['なんにち']]#5#['&exp;']#['what day']
['蛙の子は蛙']#[['かえるのこはかえる']]#5#['&exp;']#['like father, like son', \"the apple doesn't fall far from the tree\", {'_': 'the child of a frog is a frog', '$': {'g_type': 'lit'}}]
['気をつけ']#[['きをつけ']]#5#['&exp;']#['(stand to) attention!']
['空で']#[['そらで']]#5#['&exp;']#[\"off the top of one's head\", 'from thin air']
['言ったって']#[['いったって']]#5#['&exp;']#['even if I told you']
['言わぬが花']#[['いわぬがはな']]#5#['&exp;']#['some things are better left unsaid', 'silence is golden']
['後から後から']#[['あとからあとから']]#5#['&exp;']#['one after another', 'in rapid succession']
['今が今']#[['いまがいま']]#5#['&exp;']#['just now']
['今が今まで']#[['いまがいままで']]#5#['&exp;']#['till just now']
['少なげ']#[['すくなげ']]#5#['&exp;']#['scarcity']
['人らしい']#[['ひとらしい']]#5#['&exp;']#['like a decent person', 'human']
['人前で']#[['ひとまえで']]#5#['&exp;']#['in public', 'in company']
['煎り立て']#[['いりたて']]#5#['&exp;']#['freshly parched']
['大まかに言えば']#[['おおまかにいえば']]#5#['&exp;']#['generally speaking', 'in a broad way']
['中には']#[['なかには']]#5#['&exp;']#['among (them)', 'of (them)']
['二足のわらじ']#[['にそくのわらじ']]#5#['&exp;']#['many irons in the fire', 'engaged in two trades at the same time', 'wearing two hats']
['年が年']#[['としがとし']]#5#['&exp;']#['considering this age']
['年ぶり']#[['ねんぶり']]#5#['&exp;']#['after an interval of ... years', 'for the first time in ... years']
['ただ今']#[['ただいま']]#5#['&int;', '&exp;']#['here I am', \"I'm home!\"]
['ざま見ろ']#[['ざまみろ']]#5#['&exp;']#['serves you right!', 'see what happens!']
['来る日も来る日も']#[['くるひもくるひも']]#5#['&exp;']#['day after day', 'day in and day out', 'every single day']
['来立て']#[['きたて']]#5#['&exp;']#['new arrival']
['穢土']#[['えど']]#5#['&exp;']#['this impure world (as opposed to the pure land)']
['剃立て']#[['すりたて'], ['そりたて']]#5#['&exp;']#['clean shaven', 'freshly shaven']
['口をつける']#[['くちをつける']]#5#['&v1;', '&exp;']#['to taste', 'to try (food or drink)']
['何でも']#[['なんでも']]#5#['&exp;']#['any', 'anything', 'whatever', 'whatever one likes', 'everything', 'all']
['行けません']#[['いけません']]#5#['&exp;']#['wrong', 'not good', 'of no use']
['見よう見まね']#[['みようみまね']]#5#['&exp;']#['learning by watching others', 'learning by imitation']
['屑入れ屑出し']#[['くずいれくずだし']]#5#['&exp;']#['garbage in, garbage out']
['下の下']#[['げのげ']]#5#['&exp;']#['the lowest (of its kind)', 'the poorest']
['一から十まで']#[['いちからじゅうまで']]#5#['&exp;']#['from A to Z', 'without exception', 'in every particular']
['と言って']#[['といって']]#5#['&exp;']#['however', 'because', 'as']
['と来たら']#[['ときたら']]#5#['&exp;']#['when it comes to ...', 'concerning', 'where ... are concerned']
['金ずくで']#[['かねずくで']]#5#['&exp;']#['for money', 'just for money', 'by means of money', 'by force of money']
['手生け']#[['ていけ']]#5#['&exp;']#[\"doing one's own flower arranging\"]
['見ざる聞かざる言わざる']#[['みざるきかざるいわざる']]#5#['&exp;']#['see no evil, hear no evil, and speak no evil', 'the three wise monkeys']
['日一日と']#[['ひいちにちと']]#5#['&exp;']#['day by day']
['水入らずで']#[['みずいらずで']]#5#['&exp;']#['privately', 'with outsiders barred', 'en famille']
['出たて']#[['でたて']]#5#['&exp;']#['right after coming out', 'just graduated']
['木の下']#[['このもと'], ['このした']]#5#['&exp;']#['under a tree']
['何が何だかわからない']#[['なにがなんだかわからない']]#5#['&exp;']#[\"not knowing what's what\", 'being unable to make heads or tails']
['一言も言わず']#[['ひとこともいわず']]#5#['&exp;']#['without saying a word']
['本の間']#[['ほんのあいだ']]#5#['&exp;']#['between the pages of a book']
['また逢う日まで']#[['またあうひまで']]#5#['&exp;']#['till we meet again']
['と言う']#[['という'], ['とゆう']]#5#['&exp;']#['called', 'named', 'that says', 'that']
['なんて目じゃない']#[['なんてめじゃない']]#5#['&exp;']#[\"it's not a problem\", \"it's not a big deal\", '(person or thing) can be easily beaten or bettered (by one)']
['何時だって']#[['いつだって']]#5#['&exp;']#['always', 'at any time']
['あの手この手']#[['あのてこのて']]#5#['&exp;']#['this way and that', '(by) various means', '(by) every means']
['そう言えば']#[['そういえば']]#5#['&exp;']#['now that you mention it', 'come to think of it', 'that reminds me', 'on that subject', 'speaking of which']
['そうして見ると']#[['そうしてみると']]#5#['&exp;']#['when looked at in that way']
['週一日']#[['しゅういちにち']]#5#['&exp;']#['one day a week']
['週二日']#[['しゅうふつか']]#5#['&exp;']#['two days a week']
['週三日']#[['しゅうみっか']]#5#['&exp;']#['three days a week']
['週四日']#[['しゅうよっか']]#5#['&exp;']#['four days a week']
['週五日']#[['しゅういつか']]#5#['&exp;']#['five days a week']
['週六日']#[['しゅうむいか']]#5#['&exp;']#['six days a week']
['週七日']#[['しゅうなのか']]#5#['&exp;']#['seven days a week']
['大なり小なり']#[['だいなりしょうなり']]#5#['&exp;']#['to a greater or lesser extent (degree)', 'more or less']
['多かれ少なかれ']#[['おおかれすくなかれ']]#5#['&exp;']#['to a greater or lesser extent (degree)', 'more or less']
