Kanji#Reading#JLPT#Type#Meaning
['あの人']#[['あのひと']]#5#['&pn;']#['he', 'she', 'that person']
['お下げ']#[['おさげ']]#5#['&n;']#[\"wearing one's hair in braids\"]
['お金']#[['おかね']]#5#['&n;']#['money']
['お古']#[['おふる']]#5#['&n;']#['used article (esp. clothes)']
['お三時']#[['おさんじ']]#5#['&n;']#[\"afternoon snack (eaten around 3 o'clock)\", 'afternoon tea']
['お子さん']#[['おこさん']]#5#['&n;']#['child']
['お手上げ']#[['おてあげ']]#5#['&n;']#['being done for', 'giving up', 'being in a hopeless situation', 'not knowing what to do', \"being brought to one's knees\", {'_': \"throwing up (one's) hands\", '$': {'g_type': 'lit'}}]
['お上りさん']#[['おのぼりさん']]#5#['&n;']#['countryside people (in town)', 'visitor from the country', 'out-of-towner', 'country bumpkin (visiting the big city)', 'yokel']
['お前']#[['おまえ'], ['おまい']]#5#['&pn;']#['you']
['お前さん']#[['おまえさん']]#5#['&n;']#['you']
['お天気']#[['おてんき']]#5#['&n;']#['weather']
['お父さん']#[['おとうさん'], ['おとっさん']]#5#['&n;']#['father', 'dad', 'papa', 'pa', 'pop', 'daddy', 'dada']
['お母さん']#[['おかあさん']]#5#['&n;']#['mother', 'mom', 'mum', 'ma']
['梶木']#[['かじき'], ['カジキ']]#5#['&n;']#['marlin', 'swordfish', 'spearfish', 'sailfish']
['上さん']#[['かみさん']]#5#['&n;']#[\"(one's) wife\"]
['梔子']#[['くちなし'], ['クチナシ'], ['しし'], ['さんしし']]#5#['&n;']#['Cape jasmine (Gardenia jasminoides)', 'Cape jessamine', 'gardenia']
['今日わ']#[['こんにちわ']]#5#['&int;']#['hello', 'good day', 'good afternoon']
['この外']#[['このほか']]#5#['&conj;']#['besides', 'moreover', 'in addition']
['こぼし話']#[['こぼしばなし']]#5#['&n;']#['complaining']
['ゴミ入れ']#[['ゴミいれ'], ['ごみいれ']]#5#['&n;']#['trashcan', 'rubbish bin', 'dustbin', 'ashcan']
['させ子']#[['させこ']]#5#['&n;']#['easy girl', 'floozy']
['白口']#[['しろぐち'], ['シログチ']]#5#['&n;']#['silver white croaker (Pennahia argentata)', 'silver croaker', 'white croaker']
['そうかと言って']#[['そうかといって']]#5#['&conj;']#['but still']
['その後']#[['そのあと'], ['そのご'], ['そののち']]#5#['&exp;', '&n;', '&adv;']#['after that', 'afterwards', 'thereafter']
['その上']#[['そのうえ']]#5#['&conj;', '&n;', '&adv;']#['in addition', 'furthermore']
['だからと言って']#[['だからといって']]#5#['&conj;']#['while it may be true that', 'just because', 'nevertheless', 'not necessarily']
['つなぎ目']#[['つなぎめ']]#5#['&n;']#['joint', 'link', 'knot', 'tie-together point']
['と言うのは']#[['というのは']]#5#['&exp;', '&conj;']#['because ...', 'for ...', 'the reason being ...']
['何れ']#[['どれ']]#5#['&pn;']#['which (of three or more)']
['アドオン電話']#[['アドオンでんわ']]#5#['&n;']#['add-on telephone']
['アメリカ人']#[['アメリカじん']]#5#['&n;']#['American person']
['アル中']#[['アルちゅう']]#5#['&n;']#['alcoholism']
['空オケ']#[['からオケ'], ['カラオケ']]#5#['&n;']#['karaoke']
['か行']#[['かぎょう'], ['カぎょう']]#5#['&n;']#['the \"ka\" column of the Japanese syllabary table (ka, ki, ku, ke, ko)']
['ガ行']#[['ガぎょう']]#5#['&n;']#['classification for Japanese verb with the dictionary form ending in \"gu\"', '\"ga\" column or row of the kana syllabary']
['クローン人間']#[['クローンにんげん']]#5#['&n;']#['(human) clone']
