Kanji,Reading,JLPT,Type,Meaning
['如何わしい'],[['いかがわしい']],1,['&adj-i;'],"['suspicious', 'dubious', 'unreliable']"
['幾つも'],[['いくつも']],1,"['&adv;', '&adj-no;']","['many', 'much', 'plenty']"
['お転婆'],[['おてんば']],1,"['&n;', '&adj-na;']",['tomboy']
['敵わない'],"[['かなわない'], ['かなはない']]",1,['&adj-i;'],['no match for']
['誤魔化し'],[['ごまかし']],1,"['&n;', '&adj-no;']","['hanky-panky', 'juggling', 'cheating', 'deception', 'smoke and mirrors']"
['執拗い'],"[['しつこい'], ['しつっこい']]",1,['&adj-i;'],"['insistent', 'obstinate', 'persistent', 'tenacious']"
['焦れったい'],[['じれったい']],1,['&adj-i;'],"['vexing', 'irritating', 'impatient']"
['其れ丈'],[['それだけ']],1,"['&adv;', '&adj-no;']","['that much', 'as much', 'to that extent', 'only that', 'that alone', 'no more than that', 'that is all (when finished speaking)']"
['怠い'],"[['だるい'], ['ダルい'], ['たるい']]",1,['&adj-i;'],"['sluggish', 'languid', 'listless', 'heavy (heart, legs, etc.)', 'dull']"
['等閑'],"[['なおざり'], ['とうかん']]",1,"['&n;', '&adj-na;']","['neglect', 'negligence', 'disregard', 'making light of']"
['只管'],[['ひたすら']],1,"['&adv;', '&adj-na;']","['intently', 'single-mindedly', 'devotedly', 'solely', 'earnestly', ""with all one's heart""]"
['膨よか'],[['ふくよか']],1,['&adj-na;'],"['plump', 'fleshy', 'well-rounded', 'full']"
['ろうけつ染め'],[['ろうけつぞめ']],1,"['&n;', '&adj-no;']",['batik (cloth)']
['亜成層圏'],[['あせいそうけん']],1,"['&n;', '&adj-no;']",['substratosphere']
['亜炭'],[['あたん']],1,"['&n;', '&adj-no;']","['lignite', 'brown coal']"
['亜麻'],"[['あま'], ['アマ']]",1,"['&n;', '&adj-no;']","['flax (Linum usitatissimum)', 'linseed']"
['亜麻製'],[['あませい']],1,['&adj-no;'],"['flaxen', 'linen']"
['亜剌比亜'],[['アラビア']],1,"['&n;', '&adj-no;']",['Arabia']
['哀れっぽい'],[['あわれっぽい']],1,['&adj-i;'],"['plaintive', 'piteous', 'doleful']"
['哀れ気'],[['あわれげ']],1,['&adj-na;'],"['sad', 'sorrowful', 'pensive']"
['哀歌'],[['あいか']],1,"['&n;', '&adj-no;']","['lament (song)', 'elegy', 'dirge', 'sad song']"
['愛称'],[['あいしょう']],1,"['&n;', '&adj-no;']","['pet name', 'nickname', {'_': 'name used to indicate affection, intimacy, informality, etc.', '$': {'g_type': 'expl'}}]"
['悪疫'],[['あくえき']],1,"['&n;', '&adj-no;']",['epidemic']
['悪縁'],[['あくえん']],1,"['&n;', '&adj-no;']","['evil destiny or connection', 'unfortunate love']"
['悪臭'],[['あくしゅう']],1,"['&n;', '&adj-no;']","['stink', 'bad odor', 'bad odour', 'stench']"
['悪徳'],[['あくとく']],1,"['&adj-na;', '&adj-no;', '&n;']","['vice', 'immorality', 'corruption']"
['悪露'],[['おろ']],1,"['&n;', '&adj-no;']","['lochia', 'post-natal vaginal discharge']"
['圧縮空気'],[['あっしゅくくうき']],1,"['&n;', '&adj-no;']",['compressed air']
['安穏'],"[['あんのん'], ['あんおん']]",1,"['&n;', '&adj-na;']","['peace', 'quiet', 'tranquility', 'tranquillity']"
['安全保障'],[['あんぜんほしょう']],1,"['&n;', '&adj-no;']","['security guarantee (e.g. military security, network security, etc.)']"
['安寧'],[['あんねい']],1,"['&n;', '&adj-na;']","['(public) peace', 'stability', 'tranquillity']"
['伊達'],[['だて']],1,"['&n;', '&adj-na;']","['elegance', 'dandyism', 'sophistication', 'having style']"
['意気軒昂'],[['いきけんこう']],1,"['&adj-na;', '&adj-t;', '&adv-to;']","['in high spirits', 'elated']"
['易感染性'],[['いかんせんせい']],1,['&adj-na;'],['compromised']
['為悪い'],"[['しにくい'], ['しがたい']]",1,['&adj-i;'],['hard to do']
['異端'],[['いたん']],1,"['&n;', '&adj-no;']",['heresy']
['緯度'],[['いど']],1,"['&n;', '&adj-no;']",['latitude (nav.)']
['一握り'],[['ひとにぎり']],1,"['&n;', '&adj-no;']",['handful']
['一眼'],[['いちがん']],1,"['&n;', '&adj-no;']","['one eye', 'single lens (e.g. camera)']"
['一騎当千'],[['いっきとうせん']],1,"['&n;', '&adj-no;']","['being a match for a thousand', 'being a mighty warrior (combatant, player)']"
['一義的'],[['いちぎてき']],1,['&adj-na;'],"['having a single meaning', 'allowing only one interpretation', 'unequivocal', 'unambiguous']"
['一己'],[['いっこ']],1,"['&n;', '&adj-no;']","['personal', 'private', 'oneself']"
['一所懸命'],[['いっしょけんめい']],1,"['&adv;', '&adj-na;', '&n;']","['very hard', 'with utmost effort', 'as hard as one can', ""with all one's might"", 'for dear life', 'eagerly', 'desperately']"
['一触即発'],[['いっしょくそくはつ']],1,"['&n;', '&adj-no;']","['critical (touch and go) situation', 'explosive situation']"
['一生懸命'],[['いっしょうけんめい']],1,"['&adv;', '&adj-na;', '&n;']","['very hard', 'with utmost effort', 'as hard as one can', ""with all one's might"", 'for dear life', 'eagerly', 'desperately']"
['一徹'],[['いってつ']],1,"['&adj-na;', '&adj-no;', '&n;']","['obstinate', 'stubborn', 'inflexible']"
['一杯機嫌'],[['いっぱいきげん']],1,"['&adj-no;', '&adj-na;', '&n;']","['tipsy', 'a little drunk', 'slightly intoxicated']"
['一頻り'],[['ひとしきり']],1,"['&adv;', '&adj-no;']","['for a while', 'for some time', 'for a period']"
['一目瞭然'],[['いちもくりょうぜん']],1,"['&adj-na;', '&adj-no;', '&n;']","['apparent', 'obvious', 'very clear']"
['逸足'],[['いっそく']],1,"['&n;', '&adj-no;']","['swiftness', 'fleetness of foot', 'swift horse']"
['逸話'],[['いつわ']],1,"['&n;', '&adj-no;']",['anecdote']
['印象主義'],[['いんしょうしゅぎ']],1,"['&n;', '&adj-no;']",['impressionism']
['姻戚'],[['いんせき']],1,"['&n;', '&adj-no;']","['relative by marriage', 'affinity']"
['陰'],[['いん']],1,"['&n;', '&adj-no;']",['(the) negative (e.g. pole)']
['陰萎'],[['いんい']],1,"['&n;', '&adj-no;']","['impotence (sexual)', 'erectile impotence']"
['陰画'],[['いんが']],1,"['&n;', '&adj-no;']",['(photographic) negative']
['陰険'],[['いんけん']],1,['&adj-na;'],"['crafty', 'tricky', 'sly', 'wily', 'treacherous', 'underhand']"
['陰口'],[['かげぐち']],1,"['&n;', '&adj-no;']","['malicious gossip', 'backbiting', ""speaking ill behind someone's back""]"
['陰嚢'],"[['いんのう'], ['ふぐり']]",1,"['&adj-na;', '&adj-no;', '&n;']","['scrotum', 'testicles', 'scrotal']"
['隠密'],[['おんみつ']],1,"['&adj-na;', '&adj-no;']","['secret', 'clandestine', 'covert']"
['隠喩'],[['いんゆ']],1,"['&n;', '&adj-no;']",['metaphor']
['韻文'],[['いんぶん']],1,"['&n;', '&adj-no;']","['verse', 'poetry']"
['右派'],[['うは']],1,"['&n;', '&adj-no;']",['right wing']
['右翼'],"[['うよく'], ['ウヨク']]",1,"['&n;', '&adj-no;']",['right-wing (politics)']
['渦状'],[['かじょう']],1,"['&n;', '&adj-no;']",['spiral']
['栄養'],[['えいよう']],1,"['&n;', '&adj-no;']","['nutrition', 'nourishment']"
