Kanji,Reading,JLPT,Type,Meaning
['お邪魔します'],[['おじゃまします']],1,['&exp;'],"['please excuse the intrusion', ""I'm coming in""]"
['お誕生日おめでとうございます'],[['おたんじょうびおめでとうございます']],1,['&exp;'],['happy birthday']
['ご覧ください'],[['ごらんください']],1,['&exp;'],['please look at it']
['その為'],[['そのため']],1,['&exp;'],"['hence', 'for that reason']"
['隣の芝生は青い'],[['となりのしばふはあおい']],1,['&exp;'],['the grass is always greener on the other side of the fence']
['という訳だ'],[['というわけだ']],1,['&exp;'],"['this is why', 'this means', 'it is the case that']"
['どうぞ宜しく'],[['どうぞよろしく']],1,['&exp;'],"['pleased to meet you', 'how do you do']"
['に於いて'],[['において']],1,['&exp;'],"['in', 'on', 'at (place)', 'as for', 'regarding']"
['に於ける'],[['における']],1,['&exp;'],"['in', 'at', 'on', 'as for', 'regarding', 'with regards to']"
['に拠れば'],[['によれば']],1,['&exp;'],['according to (someone)']
['に就いて'],[['について']],1,['&exp;'],"['concerning', 'regarding']"
['茜さす'],[['あかねさす']],1,['&exp;'],['glowing dark red']
['井の中の蛙大海を知らず'],[['いのなかのかわずたいかいをしらず']],1,['&exp;'],['the frog in the well knows nothing of the great ocean']
['一貫して'],[['いっかんして']],1,['&exp;'],['consistently']
['一喜一憂'],[['いっきいちゆう']],1,['&exp;'],"['now rejoicing, now worrying', 'swinging from joy to sorrow', 'glad and sad by turns', 'alternating hope and fear', ""unable to put one's mind at ease""]"
['人生の真っ盛り'],[['じんせいのまっさかり']],1,['&exp;'],"['prime of life', 'noontide of life']"
['一二に及ばず'],[['いちににおよばず']],1,['&exp;'],"['right away', 'without waiting around']"
['一姫二太郎'],[['いちひめにたろう']],1,['&exp;'],"[""It's good to have a girl first and then a boy""]"
['沿って'],[['そって']],1,['&exp;'],"['along', 'by', 'parallel to']"
['猿も木から落ちる'],[['さるもきからおちる']],1,['&exp;'],"['even monkeys fall from trees', 'anyone can make a mistake', 'pride comes before a fall', 'even Homer sometimes nods']"
['於ける'],[['おける']],1,['&exp;'],"['in', 'at', 'for']"
['何遍'],[['なんべん']],1,['&exp;'],"['how many times', 'how often']"
['何遍も'],[['なんべんも']],1,['&exp;'],"['repeatedly', 'several times', 'many times']"
['佳人薄命'],[['かじんはくめい']],1,['&exp;'],"['beauties die young', 'beauty and luck seldom go together']"
['蚊の囁くような声'],[['かのささやくようなこえ']],1,['&exp;'],['faint voice']
['怪しからん'],[['けしからん']],1,['&exp;'],"['outrageous', 'scandalous', 'inexcusable', 'disgraceful', 'shameful', 'rude']"
['絵に描いた餅'],[['えにかいたもち']],1,['&exp;'],"['pie in the sky', 'castles in the air', {'_': 'drawing of a rice cake', '$': {'g_type': 'lit'}}]"
['刈り立て'],[['かりたて']],1,['&exp;'],"['new mown', 'newly cut (hair)']"
['毅然として'],[['きぜんとして']],1,['&exp;'],['with resolution']
['気迫がない'],[['きはくがない']],1,['&exp;'],"['lacking spirit, vigour (vigor)']"
['疑心暗鬼'],[['ぎしんあんき']],1,['&exp;'],"['suspicion will raise bogies', 'once you suspect something, everything else will look suspicious', 'jumping at shadows']"
['久濶を叙す'],[['きゅうかつをじょす']],1,['&exp;'],['to apologize for a long neglect of friends (apologise)']
['及ばない'],[['およばない']],1,['&exp;'],['unnecessary']
['恭賀新年'],[['きょうがしんねん']],1,['&exp;'],['Happy New Year']
['郷に入っては郷に従え'],[['ごうにいってはごうにしたがえ']],1,['&exp;'],"['when in Rome, do as the Romans do']"
['驚くべき'],[['おどろくべき']],1,['&exp;'],"['astonishing', 'amazing', 'surprising', 'wonderful']"
['凝然として'],[['ぎょうぜんとして']],1,['&exp;'],"['quietly', 'without the slightest movement']"
['謹賀新年'],[['きんがしんねん']],1,['&exp;'],['Happy New Year']
['苦肉の策'],[['くにくのさく']],1,['&exp;'],"['last resort', 'desperate measure taken under pressure of necessity']"
['桑原桑原'],"[['くわばらくわばら'], ['クワバラクワバラ']]",1,['&exp;'],"['knock on wood', 'touch wood', 'heaven forbid', 'God help me', 'absit omen!']"
['血の巡りが悪い'],[['ちのめぐりがわるい']],1,['&exp;'],"['dim-witted', 'slow to catch on']"
['血の巡りの悪い'],[['ちのめぐりのわるい']],1,['&exp;'],"['dim-witted', 'slow to catch on']"
['元の木阿弥'],[['もとのもくあみ']],1,['&exp;'],['ending up right back where one started']
['厳密に言えば'],[['げんみつにいえば']],1,['&exp;'],['strictly speaking']
['狐疑逡巡'],[['こぎしゅんじゅん']],1,['&exp;'],"['being in doubt and unable to decide', 'hesitation and indecision']"
['お陰で'],[['おかげで']],1,['&exp;'],"['thanks to ...', 'owing to ...', 'because of ...']"
