Kanji,Reading,JLPT,Type,Meaning
['Ｎ響'],[['エヌきょう']],1,['&n;'],['NHK Symphony Orchestra']
['馬酔木'],"[['あせび'], ['あしび'], ['あせぼ'], ['あせぶ'], ['アセビ']]",1,['&n;'],"['Japanese andromeda (Pieris japonica)', 'lily-of-the-valley']"
['阿呆陀羅'],"[['あほんだら'], ['あほだら']]",1,['&n;'],"['fool', 'oaf', 'airhead']"
['畝り'],[['うねり']],1,['&n;'],"['undulation', 'winding', 'meandering']"
['斉魚'],"[['えつ'], ['エツ']]",1,['&n;'],['Japanese grenadier anchovy (Coilia nasus)']
['お握り'],[['おにぎり']],1,['&n;'],"['onigiri', 'rice ball (often triangular, sometimes with a filling and wrapped in nori)']"
['お陰'],[['おかげ']],1,['&n;'],"['grace (of God)', 'benevolence (of Buddha)', 'blessing']"
['お化け屋敷'],[['おばけやしき']],1,['&n;'],['haunted house']
['お嫁さん'],[['およめさん']],1,['&n;'],['bride']
['お宮'],[['おみや']],1,['&n;'],['Shinto shrine']
['お絞り'],[['おしぼり']],1,['&n;'],"['wet towel (supplied at table)', 'hot, moistened hand towel']"
['お雑煮'],[['おぞうに']],1,['&n;'],"[""soup containing rice cakes and vegetables (New Year's dish)""]"
['お手盛り'],[['おてもり']],1,['&n;'],"['making arbitrary decisions which benefit oneself', 'self-approved plan']"
['お巡りさん'],[['おまわりさん']],1,['&n;'],['police officer']
['お嬢さん'],[['おじょうさん']],1,['&n;'],"[""(another's) daughter""]"
['お浸し'],"[['おひたし'], ['おしたし']]",1,['&n;'],['boiled greens in bonito-flavoured soy sauce (vegetable side dish)']
['お尋ね者'],[['おたずねもの']],1,['&n;'],"['person sought by the police', 'wanted person', 'fugitive from justice']"
['お猪口'],[['おちょこ']],1,['&n;'],['sake cup']
['お凸'],[['おでこ']],1,['&n;'],"['brow', 'forehead']"
['お婆ん'],[['おばん']],1,['&n;'],"['old maid', 'frump', 'hag', 'old woman']"
['お墨付き'],[['おすみつき']],1,['&n;'],"['certificate', 'certified document', 'authorization', 'authorisation']"
['お盆'],[['おぼん']],1,['&n;'],"['O-Bon', 'Obon', 'Bon Festival', 'Lantern Festival', 'Festival of the Dead']"
['絡繰り'],[['からくり']],1,['&n;'],"['mechanism', 'machinery', 'contrivance', 'device']"
['がらがら蛇'],"[['がらがらへび'], ['ガラガラヘビ']]",1,['&n;'],['rattlesnake']
['けつの穴'],"[['けつのあな'], ['ケツのあな']]",1,['&n;'],"['anus', 'asshole', 'arsehole']"
['炬燵掛け'],[['こたつがけ']],1,['&n;'],"[""futon or cloth attached to the kotatsu's frame"", 'cover for kotatsu']"
['拘り'],[['こだわり']],1,['&n;'],"['obsession', 'fixation', 'hangup', 'determination', 'fastidiousness', 'pickiness about (trait, style, etc.)']"
['じゃが芋'],"[['じゃがいも'], ['ジャガいも'], ['ジャガイモ']]",1,['&n;'],['potato (Solanum tuberosum)']
['擦れ擦れ'],[['すれすれ']],1,"['&adj-na;', '&n;']","['grazing', 'skimming', 'almost touching', 'passing within inches', 'being within a whisker', 'shaving close']"
['其奴'],"[['そいつ'], ['そやつ'], ['すやつ']]",1,['&pn;'],"['he', 'she', 'that person', 'that guy', 'that fellow']"
['丈に'],[['だけに']],1,"['&exp;', '&conj;']","['given that ... it is only natural that ...', '... being the case, it is unavoidable that ...', '(precisely) because ...', 'as might be expected (from ...)']"
['丁髷'],[['ちょんまげ']],1,['&n;'],['topknot (hair style)']
['跆拳道'],"[['テコンドー'], ['テコンド']]",1,['&n;'],"['taekwondo', 'tae kwon do']"
['とろろ芋'],[['とろろいも']],1,['&n;'],['yam']
['どう致しまして'],[['どういたしまして']],1,['&int;'],"[""you're welcome"", ""don't mention it"", 'not at all', 'my pleasure']"
['響めき'],[['どよめき']],1,['&n;'],"['commotion', 'stir']"
['将又'],[['はたまた']],1,['&conj;'],['or']
