Kanji,Reading,JLPT,Type,Meaning
['お負けに'],[['おまけに']],3,"['&conj;', '&exp;']","['to make matters worse', 'besides', ""what's more"", 'in addition', 'on top of that']"
['お願いします'],[['おねがいします']],3,['&exp;'],['please']
['お願いいたします'],[['おねがいいたします']],3,['&exp;'],['please']
['この結果'],[['このけっか']],3,['&exp;'],"['consequently', 'as a result']"
['ご苦労さん'],[['ごくろうさん']],3,['&exp;'],['I appreciate your efforts']
['ご心配なく'],[['ごしんぱいなく']],3,['&exp;'],"[""don't worry"", 'no worries', 'never mind']"
['ご馳走様でした'],[['ごちそうさまでした']],3,['&exp;'],"['thank you for the meal', 'that was a delicious meal', 'what a wonderful meal']"
['その反面'],[['そのはんめん']],3,['&exp;'],['on the other hand']
['それに加えて'],[['それにくわえて']],3,['&exp;'],['in addition to this']
['と共に'],[['とともに']],3,['&exp;'],"['together with', 'as X, then Y (e.g. as we age we gain wisdom, as wine matures it becomes more valuable, etc.)']"
['に取って'],[['にとって']],3,['&exp;'],"['to', 'for', 'from the standpoint of', 'as far as ... is concerned']"
['に加え'],[['にくわえ']],3,['&exp;'],['in addition']
['に加えて'],[['にくわえて']],3,['&exp;'],['in addition']
['に関して'],[['にかんして']],3,['&exp;'],"['related to', 'in relation to', 'as far as ... is concerned']"
['に照らして'],[['にてらして']],3,['&exp;'],"['in comparison with', 'when compared with', 'according to', 'in light of', 'in view of']"
['に対して'],[['にたいして']],3,['&exp;'],"['towards', 'against', 'regarding', 'in contrast with']"
['に対する'],[['にたいする']],3,['&exp;'],"['regarding', 'in', 'to', 'towards', 'with regards to']"
['に当たって'],[['にあたって']],3,['&exp;'],"['on the occasion of', 'at the time of']"
['に反して'],[['にはんして']],3,['&exp;'],"['against', 'contrary to']"
['に付き'],[['につき']],3,['&exp;'],"['because of', 'on account of']"
['様に'],[['ように']],3,['&exp;'],"['in order to (e.g. meet goal)', 'so that', 'take care (so as)']"
['愛すべき'],[['あいすべき']],3,['&exp;'],['lovable']
['愛でたし'],[['めでたし']],3,['&exp;'],"['happy', 'auspicious', 'propitious', 'joyous']"
['安全第一'],[['あんぜんだいいち']],3,['&exp;'],['safety first (principle)']
['委細面談'],[['いさいめんだん']],3,['&exp;'],['details when I see you']
['一人残らず'],[['ひとりのこらず']],3,['&exp;'],"['every one (of them)', '(one and) all', 'without exception', 'to a man', 'to the last person']"
['一人当て'],[['ひとりあて']],3,['&exp;'],['per person']
['一石二鳥'],[['いっせきにちょう']],3,['&exp;'],['killing two birds with one stone']
['雨天決行'],[['うてんけっこう']],3,['&exp;'],"['rain or shine', 'no postponement for rain']"
['何点'],[['なんてん']],3,['&exp;'],['how many points']
['他に何か'],[['ほかになにか']],3,['&exp;'],['is there anything else?']
['感度良好'],[['かんどりょうこう']],3,['&exp;'],['(coming through) loud and clear']
['間を置いて'],"[['まをおいて'], ['あいだをおいて']]",3,['&exp;'],"['intermittently', 'at intervals (of)', 'after a pause']"
['喜色満面'],[['きしょくまんめん']],3,['&exp;'],['being all smiles with joy']
['気を付けて'],[['きをつけて']],3,['&exp;'],"['take care', 'be careful']"
['急な坂'],[['きゅうなさか']],3,['&exp;'],"['sudden drop', 'precipitous slope']"
['業界初'],[['ぎょうかいはつ']],3,['&exp;'],"[""the industry's first ...""]"
['見当がつかない'],[['けんとうがつかない']],3,['&exp;'],['having not the slightest idea']
['交代で'],[['こうたいで']],3,['&exp;'],"['alternately', 'by turns']"
['根も葉もない'],[['ねもはもない']],3,['&exp;'],"['unfounded (e.g. rumour)', 'groundless', 'baseless', 'completely untrue']"
['最後まで'],[['さいごまで']],3,['&exp;'],"['to the end', 'to the last']"
['刷り立て'],[['すりたて']],3,['&exp;'],['just off the press']
['残念ながら'],[['ざんねんながら']],3,['&exp;'],"[""I'm afraid to say"", ""I'm sorry to say"", 'unfortunately']"
['初めから'],[['はじめから']],3,['&exp;'],['from the beginning']
['初めに'],[['はじめに']],3,['&exp;'],"['first', 'firstly', 'first of all', 'to begin with', 'in the beginning', 'at the beginning']"
['私費で'],[['しひで']],3,['&exp;'],"[""at one's own expense""]"
['時期が早い'],[['じきがはやい']],3,['&exp;'],"['before scheduled', 'earlier than expected']"
['自信なし'],[['じしんなし']],3,['&exp;'],"['(I am) uncertain', 'unsure']"
['失業手当'],[['しつぎょうてあて']],3,['&exp;'],['unemployment allowance']
['失礼しました'],[['しつれいしました']],3,['&exp;'],"['my apologies', ""I'm sorry"", 'excuse me']"
['手当たり次第'],[['てあたりしだい']],3,"['&adv;', '&exp;']","[""using anything one can lay one's hands on"", 'haphazardly', 'on the rebound', 'at random', 'indiscriminately']"
['出る釘は打たれる'],[['でるくぎはうたれる']],3,['&exp;'],"['the nail that sticks out gets hammered down', {'_': 'people that stick out too much get punished', '$': {'g_type': 'expl'}}]"
['上記のことから'],[['じょうきのことから']],3,['&exp;'],['given the above']
['申しにくい'],[['もうしにくい']],3,['&exp;'],"[""I'm sorry to trouble you""]"
['身から出た錆'],[['みからでたさび']],3,['&exp;'],"[""paying for one's mistakes"", ""getting one's just deserts"", ""suffering the consequences (of one's own actions)"", 'reaping what you sow']"
['晴後雨'],[['はれのちあめ']],3,['&exp;'],['clear then rain (e.g. weather forecast)']
['折も折'],[['おりもおり']],3,['&exp;'],"['at that very moment', 'at precisely that time', 'just when']"
['全くのところ'],[['まったくのところ']],3,['&exp;'],['entirely']
['全くもって'],[['まったくもって']],3,['&exp;'],"['as a matter of fact', 'really', 'truly', 'entirely', 'completely', 'wholly', 'perfectly']"
['全体で'],[['ぜんたいで']],3,['&exp;'],['in all']
['全体として'],[['ぜんたいとして']],3,['&exp;'],['overall']
['対して'],[['たいして']],3,['&exp;'],"['for', 'in regard to', 'per']"
['天地無用'],[['てんちむよう']],3,['&exp;'],['do not turn upside down']
['灯台下暗し'],[['とうだいもとくらし']],3,['&exp;'],"['it is darkest under the lamp post', ""it's hard to see what is under your nose"", 'go abroad to hear of home', 'you must go into the country to hear what news at London']"
['当世風に言うと'],[['とうせいふうにいうと']],3,['&exp;'],['as we would say nowadays']
['同病相憐れむ'],[['どうびょうあいあわれむ']],3,['&exp;'],['fellow sufferers pity each other']
['特筆すべき'],[['とくひつすべき']],3,['&exp;'],['worthy of special mention']
['鼻持ちならぬ'],[['はなもちならぬ']],3,['&exp;'],"['intolerable', 'disgusting']"
['必要なし'],[['ひつようなし']],3,['&exp;'],['not required']
['必要ならば'],[['ひつようならば']],3,['&exp;'],['if necessary']
['必要は発明の母'],[['ひつようははつめいのはは']],3,['&exp;'],['necessity is the mother of invention']
['表立って'],[['おもてだって']],3,['&exp;'],"['publicly', 'openly', 'ostensibly', 'formally']"
['無しで'],[['なしで']],3,['&exp;'],['without']
['無しに'],[['なしに']],3,['&exp;'],['without']
['末筆ながら'],[['まっぴつながら']],3,['&exp;'],"['last but not least', 'finally']"
['万止むを得ず'],[['ばんやむをえず']],3,['&exp;'],['there is no hope']
['万止むを得なければ'],[['ばんやむをえなければ']],3,['&exp;'],"['if necessary', 'when unavoidable']"
['あり得る'],"[['ありうる'], ['ありえる']]",3,"['&adj-f;', '&exp;']","['possible', 'likely', 'probable']"
['由有る'],[['よしある']],3,['&exp;'],"['of rank', 'of noble birth']"
['予想通り'],[['よそうどおり']],3,['&exp;'],"['as expected', 'predictably', 'not surprisingly']"
['両手に花'],[['りょうてにはな']],3,['&exp;'],"['two blessings at once', 'flanked by two beautiful women']"
['良かったら'],[['よかったら']],3,['&exp;'],['if you like']
['例によって'],[['れいによって']],3,['&exp;'],"['as usual', ""as is one's habit""]"
['連れて'],[['つれて']],3,"['&conj;', '&exp;']","['as', 'in proportion to']"
['蓼食う虫も好き好き'],"[['たでくうむしもすきずき'], ['タデくうむしもすきずき']]",3,['&exp;'],"['some prefer nettles', ""there's no accounting for taste"", 'every man to his taste']"
['真っ平'],[['まっぴら']],3,['&exp;'],"['(not) by any means', '(not) for anything', ""wouldn't do for anything"", 'had enough', 'flatly refusing']"
['儲け付くで'],[['もうけづくで']],3,['&exp;'],"['for investment', 'to make money']"
['初めまして'],[['はじめまして']],3,['&exp;'],"['How do you do?', 'I am glad to meet you']"
['春の目覚め'],[['はるのめざめ']],3,['&exp;'],['puberty']
['他ならぬ'],[['ほかならぬ']],3,['&exp;'],"['nothing but', 'none other than']"
['選りによって'],[['よりによって']],3,['&exp;'],"['of all (things, people, places, days, etc.)']"
['悲しいかな'],[['かなしいかな']],3,['&exp;'],"['sad to say', 'how sad', 'alas']"
['転石苔を生ぜず'],[['てんせきこけをしょうぜず']],3,['&exp;'],['a rolling stone gathers no moss']
['良い旅を'],[['よいたびを']],3,['&exp;'],"['bon voyage!', 'have a nice trip!']"
['良い旅行を'],[['よいりょこうを']],3,['&exp;'],"['bon voyage!', 'have a nice trip!']"
['世界の果て'],[['せかいのはて']],3,['&exp;'],['end of the world']
['取り立てて'],[['とりたてて']],3,['&exp;'],"['particularly', 'in particular', 'especially']"
['辞さない'],[['じさない']],3,['&exp;'],"['willing to do', 'prepared']"
['渾然一体'],[['こんぜんいったい']],3,['&exp;'],['in complete harmony']
['血の海'],[['ちのうみ']],3,['&exp;'],"['sea of blood', 'pool of blood']"
['虻蜂取らず'],"[['あぶはちとらず'], ['アブハチとらず']]",3,['&exp;'],"['attempting two tasks at the same time, accomplishing neither', 'falling between two stools', {'_': 'catching neither the horsefly nor the bee', '$': {'g_type': 'lit'}}]"
['無用の長物'],[['むようのちょうぶつ']],3,['&exp;'],"['useless object', 'deadwood', 'white elephant', 'boondoggle']"
['候由'],[['そうろうよし']],3,['&exp;'],['I hear that ...']
['候間'],[['そうろうあいだ']],3,['&exp;'],['as ...']
['用無し'],[['ようなし']],3,['&exp;'],"['idle', 'useless']"
['お平らに'],[['おたいらに']],3,['&exp;'],"['please make yourself comfortable', 'please relax your sitting position']"
['ご無理ごもっとも'],[['ごむりごもっとも']],3,['&exp;'],['you are unquestionably right']
['取りも直さず'],[['とりもなおさず']],3,['&exp;'],"['namely', 'that is (to say)', 'in other words']"
['有るか無きか'],[['あるかなきか']],3,['&exp;'],['so slight as to be all but non-existent']
['喧嘩両成敗'],[['けんかりょうせいばい']],3,['&exp;'],"['in a quarrel, both parties are to blame']"
['時間外手当て'],[['じかんがいてあて']],3,['&exp;'],['overtime pay']
['事改めて'],[['ことあらためて']],3,['&exp;'],['anew']
['もっけの幸い'],[['もっけのさいわい']],3,['&exp;'],"['windfall', 'piece of good luck']"
['足を地に付けて'],[['あしをちにつけて']],3,['&exp;'],"['with steady steps', ""with one's feet planted on the ground""]"
['熱い仲'],[['あついなか']],3,['&exp;'],"['mutual attraction', 'being in love']"
['一丸となって'],[['いちがんとなって']],3,['&exp;'],"['in unison', 'as one', 'united']"
['一糸もまとわず'],[['いっしもまとわず']],3,['&exp;'],"['stark-naked', 'without a stitch of clothing on']"
['書き候'],[['かきそうろう']],3,['&exp;'],"['(have the honor, honour) to write']"
['家計の助け'],[['かけいのたすけ']],3,['&exp;'],['assistance in supporting a family']
['助力によって'],[['じょりょくによって']],3,['&exp;'],"[""with (someone's) help""]"
['芸をする犬'],[['げいをするいぬ']],3,['&exp;'],['dog that knows (does) tricks']
['幸か不幸か'],[['こうかふこうか']],3,['&exp;'],"['for better or worse', 'luckily or unluckily']"
['事と次第で'],[['こととしだいで']],3,['&exp;'],"['if things permit', 'under certain circumstances']"
['ご希望の向きは'],[['ごきぼうのむきは']],3,['&exp;'],['those who want it']
['差しで'],[['さしで']],3,['&exp;'],"['face to face', 'between two persons']"
['小成に安んじる'],[['しょうせいにやすんじる']],3,['&exp;'],['to be content with small successes']
['事実に照らして'],[['じじつにてらして']],3,['&exp;'],['in view of the facts']
['正と続'],[['せいとぞく']],3,['&exp;'],['first and second series']
['正と反'],[['せいとはん']],3,['&exp;'],['thesis and antithesis']
['地の果て'],[['ちのはて']],3,['&exp;'],['end of the earth']
['手を束ねて'],[['てをつかねて']],3,['&exp;'],"['doing nothing', ""folding one's arms""]"
['点と線'],[['てんとせん']],3,['&exp;'],['points and lines']
['当を得る'],"[['とうをうる'], ['とうをえる']]",3,['&exp;'],"['to be in order', 'to be right']"
['動と反動'],[['どうとはんどう']],3,['&exp;'],['action and reaction']
['仲間を語らって'],[['なかまをかたらって']],3,['&exp;'],"[""together with one's lot""]"
['仲人を通して'],[['なこうどをとおして']],3,['&exp;'],['through a go-between']
['二君に仕えず'],[['にくんにつかえず']],3,['&exp;'],['one can not serve two masters']
['年末まで'],[['ねんまつまで']],3,['&exp;'],['before the end of this year']
['膝を交えて'],[['ひざをまじえて']],3,['&exp;'],"['intimately', 'sitting knee to knee']"
['必死になって'],[['ひっしになって']],3,['&exp;'],"['desperately', ""for one's dear life""]"
['ひどい仕打ち'],[['ひどいしうち']],3,['&exp;'],"['cruel treatment', 'raw deal', 'kick in the pants']"
['法と実'],[['ほうとじつ']],3,['&exp;'],['divisor and dividend']
['法と時'],[['ほうととき']],3,['&exp;'],['mood and tense']
['的に達しない'],[['まとにたっしない']],3,['&exp;'],['falling short of the mark']
['丸くなって'],[['まるくなって']],3,['&exp;'],['in a circle (ring)']
['丸のまま'],[['まるのまま']],3,['&exp;'],"['in its entirety', 'whole']"
['向かって左'],[['むかってひだり']],3,['&exp;'],['on the left as one faces (it)']
['向こうに着いたら'],[['むこうについたら']],3,['&exp;'],['when you get to the destination']
['向こうに回して'],[['むこうにまわして']],3,['&exp;'],['in opposition to']
['命により'],[['めいにより']],3,['&exp;'],"['under the orders of', 'by order (command)']"
['横から'],[['よこから']],3,['&exp;'],"[""from one's side"", 'from the side (of something)']"
['老と病'],[['ろうとびょう']],3,['&exp;'],['old age and sickness']
['和して同ぜず'],[['わしてどうぜず']],3,['&exp;'],['harmonize but not agree (harmonise)']
['左のような理由'],[['ひだりのようなりゆう']],3,['&exp;'],['the reason(s) is (are) as follows']
['果ては'],[['はては']],3,['&exp;'],"['in the end', 'on top of that']"
['晴れて'],[['はれて']],3,['&exp;'],"['openly', 'publicly', 'in public', 'formally', 'officially', 'duly']"
['蛙の面に水'],"[['かえるのつらにみず'], ['カエルのつらにみず']]",3,['&exp;'],"[""like water off a duck's back"", {'_': ""water on a frog's face"", '$': {'g_type': 'lit'}}]"
['楽あれば苦あり'],[['らくあればくあり']],3,['&exp;'],"['after pleasure comes pain', 'there is no pleasure without pain', 'there is no rose without a thorn', 'take the good with the bad']"
['残念なことに'],[['ざんねんなことに']],3,['&exp;'],['unfortunately']
['順番待ち'],[['じゅんばんまち']],3,['&exp;'],"[""waiting one's turn""]"
['社内外'],[['しゃないがい']],3,['&exp;'],['inside and outside the company']
['西和'],[['せいわ']],3,['&exp;'],['Spanish-Japanese']
['和西'],[['わせい']],3,['&exp;'],['Japanese-Spanish']
['相当な注意'],[['そうとうなちゅうい']],3,['&exp;'],"['due diligence', 'due care', 'reasonable diligence', 'reasonable care']"
['出る杭は打たれる'],[['でるくいはうたれる']],3,['&exp;'],"['the nail that sticks out gets hammered down', {'_': 'people that stick out too much get punished', '$': {'g_type': 'expl'}}]"
