Kanji,Reading,JLPT,Type,Meaning
['各'],[['かく']],3,['&pref;'],"['each', 'every', 'all']"
['原'],[['げん']],3,['&pref;'],"['original', 'primitive', 'primary', 'fundamental', 'raw']"
['高次'],[['こうじ']],3,"['&n;', '&pref;']","['higher-order-', 'meta-']"
['高熱'],[['こうねつ']],3,"['&n;', '&pref;']",['high fever']
['昨'],[['さく']],3,['&pref;'],"['last (year)', 'yesterday']"
['十数'],[['じゅうすう']],3,['&pref;'],"['ten-odd', 'a dozen or so']"
['助'],[['じょ']],3,['&pref;'],"['help', 'rescue', 'assistant']"
['全'],[['ぜん']],3,['&pref;'],"['all', 'whole', 'entire', 'complete', 'total', 'pan-']"
['相'],[['あい']],3,['&pref;'],"['together', 'mutually', 'fellow']"
['第'],[['だい']],3,['&pref;'],['prefix for forming ordinal numbers']
['直'],[['ひた']],3,['&pref;'],"['earnestly', 'immediately', 'exactly']"
['反'],[['はん']],3,['&pref;'],['anti-']
['付け'],[['づけ']],3,"['&n-suf;', '&pref;', '&suf;']","['dated', 'date', 'fixed', 'external']"
['副'],[['ふく']],3,"['&n;', '&pref;']","['assistant', 'associate', 'vice-', 'sub-', 'deputy', 'substitute', 'auxiliary', 'supplementary', 'additional', 'collateral']"
['次'],[['じ']],3,['&pref;'],['next']
['数'],[['すう']],3,['&pref;'],"['several', 'a number of']"
['全休'],[['ぜんきゅう']],3,"['&n;', '&pref;']",['whole (period)']
['当'],[['とう']],3,['&pref;'],"['this', 'our', 'the ... in question', 'the said ...']"
['残'],[['ざん']],3,"['&n;', '&pref;']","['remaining', 'left-over', 'excess']"
['未'],[['み']],3,['&pref;'],"['not yet', 'un-']"
['細小'],"[['いさら'], ['いささ']]",3,['&pref;'],"['small', 'little']"
['細'],"[['ささ'], ['さざ']]",3,['&pref;'],"['small', 'little']"
['細ら'],"[['ささら'], ['さざら'], ['さざれ']]",3,['&pref;'],"['small', 'little', 'fine']"
['無'],[['ぶ']],3,['&pref;'],"['un-', 'non-']"
['勝手ながら'],[['かってながら']],3,"['&exp;', '&pref;']","['to allow oneself to ...', 'to take the liberty of ...']"
['単'],[['たん']],3,['&pref;'],"['single', 'simple']"
['打っ'],"[['ぶっ'], ['ブッ']]",3,['&pref;'],"['strongly', 'violently', 'quickly', 'suddenly']"
['計約'],[['けいやく']],3,"['&exp;', '&pref;']",['approximate total (of)']
['愛'],[['まな']],3,['&pref;'],"['beloved', 'dear']"
['取っ'],[['とっ']],3,['&pref;'],"['very', 'much']"
['静'],[['しず']],3,['&pref;'],"['quiet', 'calm', 'still']"
['希'],[['き']],3,['&pref;'],['dilute']
['平'],[['へい']],3,['&pref;'],['nth year in the Heisei era (1989.1.8-2019.4.30)']
['一昨昨'],[['いっさくさく']],3,['&pref;'],"['three (days, years, etc.) ago', 'two ... before last']"
