Kanji,Reading,JLPT,Type,Meaning
['落っこちる'],[['おっこちる']],3,"['&v1;', '&vi;']","['to fall down', 'to drop']"
['お参り'],[['おまいり']],3,"['&n;', '&vs;']","['visit (to a shrine, grave, etc.)', 'worship']"
['お返し'],[['おかえし']],3,"['&n;', '&vs;']","['return gift', 'return favour (favor)']"
['くすくす笑う'],"[['くすくすわらう'], ['クスクスわらう']]",3,"['&exp;', '&v5u;']",['to giggle']
['草臥れる'],[['くたびれる']],3,"['&v1;', '&vi;']","['to get tired', 'to become exhausted', 'to grow weary']"
['くっ付く'],[['くっつく']],3,"['&v5k;', '&vi;']","['to adhere to', 'to stick to', 'to cling to']"
['くっ付ける'],[['くっつける']],3,['&v1;'],"['to attach', 'to stick together', 'to paste', 'to glue']"
['クンクン鳴く'],"[['クンクンなく'], ['くんくんなく']]",3,"['&exp;', '&v5k;']",['to whine (of a dog)']
['ケラケラ笑う'],"[['ケラケラわらう'], ['けらけらわらう']]",3,"['&v5u;', '&vi;']",['to cackle']
['ゲラゲラ笑う'],"[['ゲラゲラわらう'], ['げらげらわらう']]",3,"['&exp;', '&v5u;']","['to guffaw', 'to roar with laughter', 'to laugh heartily']"
['こじ付ける'],[['こじつける']],3,"['&v1;', '&vt;']","['to distort', 'to strain (interpretation)', 'to force (meaning)']"
['ごった返す'],[['ごったがえす']],3,"['&v5s;', '&vi;']","['to be in confusion or commotion', 'to be in a turmoil', 'to be crowded or jammed with people']"
['さて置く'],[['さておく']],3,"['&v5k;', '&vt;']",['to set aside']
['しがみ付く'],[['しがみつく']],3,"['&v5k;', '&vi;']",['to cling']
['しくしく泣く'],[['しくしくなく']],3,"['&exp;', '&v5k;']","['to cry softly', 'to sob', 'to weep']"
['すすり泣く'],[['すすりなく']],3,"['&v5k;', '&vi;']",['to sob']
['だまし取る'],[['だましとる']],3,"['&v5r;', '&vt;']","['to take by deception', 'to defraud someone of', 'to swindle someone out of', 'to cheat someone out of']"
['ちんちん鳴る'],[['ちんちんなる']],3,['&v5r;'],"['to jingle', 'to tinkle', 'to whistle (kettle)']"
['掴み取る'],[['つかみとる']],3,"['&v5r;', '&vt;']","['to grasp', 'to get']"
['綯い交ぜにする'],[['ないまぜにする']],3,"['&exp;', '&vs-i;']","['to blend (e.g. truth and lies)', 'to mix together (e.g. kanji and kana)']"
['にして置く'],[['にしておく']],3,"['&exp;', '&v5k;']","['to leave as', 'to view as', 'to maintain the status quo']"
['ピヨピヨ鳴く'],"[['ピヨピヨなく'], ['ぴよぴよなく']]",3,"['&exp;', '&v5k;']","['to peep', 'to cheep']"
