Kanji,Reading,JLPT,Type,Meaning
['あっという間に'],"[['あっというまに'], ['あっとゆうまに'], ['アッというまに'], ['アッとゆうまに']]",5,"['&exp;', '&adv;']","['just like that', 'in the twinkling of an eye', 'in the blink of an eye', {'_': 'in the time it takes to say ""ah!""', '$': {'g_type': 'lit'}}]"
['何時もより'],[['いつもより']],5,['&adv;'],['more than usual']
['お先に'],[['おさきに']],5,['&adv;'],"['before', 'previously']"
['此間'],[['こないだ']],5,"['&n;', '&adv;']","['the other day', 'lately', 'recently']"
['この間'],"[['このあいだ'], ['このかん']]",5,"['&n;', '&adv;']","['the other day', 'lately', 'recently', 'during this period']"
['先'],[['さっき']],5,"['&n;', '&adv;']","['a short while ago', 'a moment ago', 'just now', 'some time ago']"
['高が'],[['たかが']],5,['&adv;'],"['only', 'merely', 'just', 'at most', 'no more than']"
['何れでも'],[['どれでも']],5,['&adv;'],"['any one', 'any', 'whichever']"
['見す見す'],[['みすみす']],5,['&adv;'],"[""before one's own eyes"", ""from under one's very nose"", 'without doing anything', 'without resistance', 'helplessly', 'negligently', 'knowingly']"
['ある時'],[['あるとき']],5,"['&exp;', '&adv;', '&adj-no;']","['on one occasion', 'once', 'at one point', 'at one time']"
['一に'],[['いつに']],5,['&adv;'],"['solely', 'entirely', 'only', 'or']"
['一も二もなく'],[['いちもにもなく']],5,['&adv;'],['unhesitatingly']
['一溜まりもなく'],[['ひとたまりもなく']],5,"['&exp;', '&adv;']","['easily (beaten, destroyed, etc.)', 'without difficulty', 'helplessly', 'without the least resistance']"
['一気に'],[['いっきに']],5,['&adv;'],"['in one go', 'in one gulp', 'in one breath', 'without stopping', 'without pausing', 'without resting', 'in one sitting', 'at a stretch', 'all at once']"
['一頃'],[['ひところ']],5,"['&n;', '&adv;']","['once', 'some time ago']"
['一時に'],"[['いちどきに'], ['いちじに'], ['いっときに']]",5,['&adv;'],"['at the same time', 'at a time', 'at one time', 'simultaneously']"
['一手に'],[['いってに']],5,['&adv;'],"['single-handedly', 'alone', 'single-handed']"
['一週'],[['いっしゅう']],5,"['&n;', '&adv;']",['one week']
['１人あたり'],[['ひとりあたり']],5,"['&exp;', '&adv;']","['per person', 'per capita', 'per head']"
['一日中'],"[['いちにちじゅう'], ['いちにちぢゅう']]",5,"['&n;', '&adv;']","['all day long', 'all the day', 'throughout the day']"
['一入'],[['ひとしお']],5,['&adv;'],"['still more', 'especially']"
['一年中'],"[['いちねんじゅう'], ['いちねんぢゅう']]",5,"['&n;', '&adv;']",['all year round']
